weekday;day;month;year;time;EA+ GERAL 1 BVTP1 (KWh);EA+ QGD 1 ALF2A1 (KWh);EA+ GERAL 2 BVTP1 (KWh);EA+ QGD 2 ALF1P0 (KWh);EA+ QGD 1 ALF1P0 (KWh);EA+ Geral ALF2A7+A8 (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ GERAL FAR (KWh);EA+ GERAL 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ GERAL MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ GERAL PTM (KWh);EA+ GERAL 2 SNT (KWh);EA+ GERAL FMC (KWh)
Sun;31;1;2016;15:15;41.46;24.18;1.6;26.0;10.0;133.67;18.9;68.27;29.94;23.0;7.0;14.5;16.74;44.0;49.0;8.72;26.91;39.0;5.0;16.0;22.0
Sun;31;1;2016;15:30;39.39;23.34;1.69;26.0;13.0;133.17;19.9;65.47;28.94;22.0;6.0;16.0;20.16;43.0;49.0;7.42;32.03;40.0;4.0;15.92;21.0
Sun;31;1;2016;15:45;39.97;24.21;1.61;25.8;10.0;132.91;18.9;68.85;28.94;23.0;6.0;14.5;17.89;45.0;49.0;8.6;28.03;39.0;6.0;15.93;21.0
Sun;31;1;2016;16:00;40.08;24.17;1.66;26.0;13.0;138.83;19.9;65.93;30.94;22.0;6.0;14.0;18.45;44.0;50.0;7.42;26.71;40.0;4.0;16.0;21.0
Sun;31;1;2016;16:15;40.87;23.2;1.65;26.0;10.0;133.31;19.9;66.47;28.94;22.4;6.0;14.0;18.91;44.0;49.0;8.64;28.89;39.0;6.0;15.93;21.0
Sun;31;1;2016;16:30;40.01;24.15;1.64;26.0;12.0;133.85;19.9;68.86;28.94;22.4;6.0;14.0;17.4;43.0;49.0;7.58;27.63;40.0;4.0;15.94;21.0
Sun;31;1;2016;16:45;39.66;23.8;1.67;26.0;10.0;132.91;18.9;65.97;30.94;22.4;6.0;16.5;19.43;44.0;49.0;8.3;26.76;40.0;6.0;15.97;21.0
Sun;31;1;2016;17:00;39.95;23.37;1.6;26.0;13.0;131.34;19.9;68.05;28.94;22.4;6.0;14.0;16.43;44.0;49.0;7.85;26.55;40.0;6.0;15.95;21.0
Sun;31;1;2016;17:15;40.64;23.12;1.71;25.5;10.0;136.1;18.9;65.69;28.94;22.4;6.0;13.5;18.25;44.0;50.0;8.11;27.65;39.0;6.0;15.92;21.0
Sun;31;1;2016;17:30;39.76;23.78;1.59;26.0;12.0;134.19;19.9;68.72;30.94;23.0;7.0;14.0;18.35;44.0;49.0;8.07;29.44;41.0;5.0;15.97;21.0
Sun;31;1;2016;17:45;39.62;23.23;1.7;26.2;10.0;133.14;18.9;65.38;28.94;22.0;5.0;16.0;16.43;43.0;49.0;7.82;26.9;39.0;5.0;15.95;21.0
Sun;31;1;2016;18:00;39.92;24.17;1.59;25.8;13.0;132.91;18.9;66.41;28.94;23.0;6.0;14.5;18.21;44.0;48.0;8.03;26.59;40.0;6.0;15.89;21.0
Sun;31;1;2016;18:15;40.85;23.83;1.7;26.0;9.0;137.69;19.9;67.51;29.94;23.0;7.0;14.0;16.56;44.0;50.0;8.36;28.26;39.0;5.0;15.9;22.0
Sun;31;1;2016;18:30;39.25;23.54;1.59;26.0;13.0;132.88;18.9;65.09;29.94;22.0;6.0;14.0;17.98;43.0;49.0;7.39;26.95;40.0;6.0;15.94;21.0
Sun;31;1;2016;18:45;39.76;24.16;1.7;26.0;9.0;133.8;18.9;67.33;28.94;22.0;6.0;14.5;16.24;44.0;49.0;7.44;26.82;39.0;5.0;15.92;21.0
Sun;31;1;2016;19:00;39.89;23.54;1.59;26.0;13.0;135.54;18.9;65.99;29.94;23.0;6.0;14.0;16.23;44.0;50.0;7.39;26.29;39.0;6.0;15.91;21.0
Sun;31;1;2016;19:15;40.72;23.86;1.7;26.0;10.0;132.93;19.9;65.21;29.94;22.0;6.0;16.0;18.42;44.0;48.0;7.73;27.88;40.0;5.0;15.93;21.0
Sun;31;1;2016;19:30;39.75;24.12;1.59;26.0;13.0;134.01;18.9;66.74;27.94;23.0;6.0;15.0;15.28;43.0;48.0;8.21;27.27;40.0;5.0;15.92;21.0
Sun;31;1;2016;19:45;39.55;22.09;1.7;25.5;9.0;134.35;19.9;66.39;29.94;22.0;6.0;14.0;18.39;44.0;49.0;8.15;27.38;40.0;6.0;15.91;20.0
Sun;31;1;2016;20:00;39.72;24.08;1.59;26.0;13.0;134.18;18.9;65.32;29.94;23.0;6.0;14.0;15.81;44.0;48.0;7.42;26.19;39.0;5.0;15.92;21.0
Sun;31;1;2016;20:15;40.11;23.48;1.7;26.0;9.0;133.44;19.9;67.72;27.94;22.0;7.0;14.0;18.26;43.0;48.0;7.43;27.07;40.0;6.0;15.91;21.0
Sun;31;1;2016;20:30;40.54;23.6;1.59;26.0;13.0;133.37;18.9;67.0;29.94;23.0;6.0;14.0;15.51;44.0;48.0;7.57;27.16;39.0;5.0;15.89;21.0
Sun;31;1;2016;20:45;38.9;24.16;1.7;26.0;9.0;133.66;19.9;65.5;29.94;22.0;5.0;15.0;15.77;44.0;49.0;8.3;28.06;40.0;5.0;15.9;21.0
Sun;31;1;2016;21:00;39.55;22.86;1.59;26.0;13.0;137.35;18.9;68.73;28.94;22.0;7.0;16.0;16.92;45.0;48.0;8.25;26.11;40.0;6.0;15.9;21.0
Sun;31;1;2016;21:15;39.71;23.4;1.7;26.0;10.0;133.14;18.9;67.67;29.94;23.0;6.0;15.0;15.31;43.0;48.0;7.45;27.29;39.0;5.0;15.92;21.0
Sun;31;1;2016;21:30;40.93;24.15;1.59;26.0;13.0;132.3;19.9;65.88;29.94;22.0;6.0;14.0;15.45;44.0;48.0;7.43;26.1;40.0;5.0;15.87;21.0
Sun;31;1;2016;21:45;39.47;23.7;1.7;26.0;9.0;138.02;18.9;66.46;28.94;23.0;5.0;14.0;15.8;43.0;48.0;7.66;29.23;39.0;6.0;15.86;22.0
Sun;31;1;2016;22:00;39.7;23.77;1.59;26.0;13.0;133.55;18.9;67.53;28.94;22.0;7.0;13.5;15.29;45.0;48.0;8.56;26.79;39.0;6.0;15.9;21.0
Sun;31;1;2016;22:15;39.6;23.11;1.7;26.0;9.0;133.08;19.9;66.55;29.94;23.0;6.0;14.0;15.3;43.0;48.0;7.44;27.01;40.0;5.0;15.87;21.0
Sun;31;1;2016;22:30;39.87;23.09;1.59;26.0;13.0;133.01;19.9;66.64;28.94;22.0;6.0;14.0;15.78;44.0;48.0;7.42;26.47;39.0;5.0;15.88;21.0
Sun;31;1;2016;22:45;40.73;24.1;1.7;26.0;9.0;134.49;19.9;65.08;28.94;22.0;6.0;14.5;15.44;43.0;47.0;7.46;27.99;40.0;6.0;15.86;22.0
Sun;31;1;2016;23:00;39.07;24.08;1.59;25.5;13.0;132.83;18.9;68.04;30.94;23.0;6.0;15.0;15.26;44.0;48.0;8.31;27.33;39.0;5.0;15.86;21.0
Sun;31;1;2016;23:15;39.71;22.09;1.7;26.0;10.0;133.12;18.9;65.94;29.94;22.0;6.5;16.0;15.52;44.0;47.0;8.35;26.83;40.0;5.0;15.91;21.0
Sun;31;1;2016;23:30;39.97;24.15;1.6;26.0;13.0;135.48;19.9;66.04;27.94;22.0;6.5;13.5;15.8;45.0;49.0;7.43;26.55;39.0;6.0;15.82;22.0
Sun;31;1;2016;23:45;40.9;23.92;1.7;26.0;9.0;131.65;18.9;66.78;29.94;22.0;5.0;16.5;15.24;44.0;47.0;9.38;26.73;40.0;6.0;15.82;21.0
Mon;1;2;2016;00:00;39.01;22.01;1.59;26.0;13.0;133.79;19.9;64.68;29.94;23.0;6.0;15.5;15.22;44.0;47.0;9.38;26.49;40.0;5.0;15.64;21.0
Mon;1;2;2016;00:15;39.59;24.04;1.7;26.0;9.0;133.89;18.9;66.97;29.94;22.0;6.0;14.5;15.72;43.0;48.0;9.19;27.81;40.0;6.0;15.91;21.0
Mon;1;2;2016;00:30;39.87;23.65;1.59;26.0;13.0;135.69;17.91;65.07;29.94;22.0;7.0;13.0;15.43;44.0;46.0;8.7;27.99;39.0;6.0;15.9;21.0
Mon;1;2;2016;00:45;40.81;23.37;1.7;26.0;10.0;131.94;17.91;65.18;29.94;23.0;6.0;14.0;15.22;44.0;46.0;9.36;27.13;39.0;5.0;15.9;21.0
Mon;1;2;2016;01:00;38.92;23.05;1.59;26.0;11.0;133.64;18.9;67.82;28.94;22.0;6.0;14.0;15.41;44.0;47.0;8.57;26.28;39.0;6.0;15.78;22.0
Mon;1;2;2016;01:15;39.57;23.53;1.7;26.0;11.0;133.0;17.91;64.59;30.94;22.0;6.0;13.5;15.72;44.0;47.0;8.64;27.08;39.0;5.0;15.86;21.0
Mon;1;2;2016;01:30;39.69;22.57;1.59;26.0;12.0;135.87;18.9;64.62;27.94;22.0;6.0;14.0;15.24;42.0;48.0;9.27;26.38;40.0;6.0;15.85;21.0
Mon;1;2;2016;01:45;40.76;24.04;1.7;25.5;13.0;130.35;17.91;66.3;28.94;23.0;6.0;14.0;15.0;44.0;48.0;8.2;29.25;40.0;5.0;15.88;21.0
Mon;1;2;2016;02:00;39.11;22.74;1.59;26.0;13.0;133.22;17.91;63.79;29.94;22.0;6.0;13.5;15.08;42.0;46.0;9.22;27.25;39.0;6.0;15.82;21.0
Mon;1;2;2016;02:15;39.47;23.52;1.7;26.0;13.0;133.48;17.91;65.6;29.94;21.0;7.0;14.0;15.11;44.0;47.0;8.35;26.38;39.0;6.0;15.83;21.0
Mon;1;2;2016;02:30;39.67;23.28;1.59;25.7;12.0;132.87;18.9;64.68;29.94;22.0;5.0;14.0;15.2;45.0;46.0;8.97;26.9;40.0;5.0;15.85;21.0
Mon;1;2;2016;02:45;40.91;23.4;1.7;26.0;13.0;133.74;17.91;65.87;28.94;22.0;7.0;14.0;15.05;42.0;45.0;8.51;26.16;38.0;5.0;15.81;21.0
Mon;1;2;2016;03:00;39.04;23.42;1.59;25.8;11.0;133.28;18.9;64.58;27.94;22.0;5.0;14.0;15.0;44.0;45.0;8.81;29.06;40.0;6.0;15.83;21.0
Mon;1;2;2016;03:15;39.41;22.65;1.7;26.0;13.0;132.01;18.9;64.6;29.94;23.0;7.0;13.0;14.54;44.0;45.0;8.6;26.95;39.0;5.0;15.84;21.0
Mon;1;2;2016;03:30;39.89;23.38;1.6;26.0;10.0;132.43;17.91;64.6;29.94;22.0;6.0;14.0;15.1;43.0;30.0;8.8;26.6;39.0;6.0;15.83;21.0
Mon;1;2;2016;03:45;40.72;22.69;1.69;25.7;14.0;134.58;17.91;64.58;28.94;22.0;6.0;14.0;15.5;43.0;3.0;8.6;27.88;39.0;5.0;15.82;21.0
Mon;1;2;2016;04:00;39.17;23.41;1.59;25.8;10.0;132.21;18.9;63.96;29.94;22.0;6.0;14.0;14.64;44.0;117.0;8.77;26.96;39.0;6.0;15.82;21.0
Mon;1;2;2016;04:15;39.55;23.51;1.69;26.0;15.0;133.07;17.91;63.24;27.94;22.0;6.0;13.5;14.53;43.0;46.0;8.62;26.75;39.0;5.0;15.87;21.0
Mon;1;2;2016;04:30;39.68;22.57;1.59;25.5;9.0;131.99;17.91;63.79;29.94;22.0;6.0;14.0;14.89;44.0;36.0;8.71;26.38;39.0;5.0;15.83;21.0
Mon;1;2;2016;04:45;40.18;23.49;1.69;26.0;14.0;132.22;18.9;63.95;29.94;22.0;7.0;13.5;14.78;43.0;38.0;8.52;26.65;39.0;5.0;15.83;21.0
Mon;1;2;2016;05:00;39.82;23.35;1.59;26.0;10.0;136.9;17.91;63.26;28.94;22.0;6.0;14.0;14.35;44.0;45.0;8.73;28.66;38.0;6.0;15.82;21.0
Mon;1;2;2016;05:15;39.24;21.98;1.7;25.7;13.0;130.71;18.9;64.16;29.94;22.0;6.0;14.0;14.53;43.0;45.0;8.36;27.22;39.0;5.0;15.86;21.0
Mon;1;2;2016;05:30;39.58;23.97;1.59;25.8;11.0;133.11;17.91;64.54;27.94;21.0;6.0;14.0;14.87;44.0;45.0;8.94;26.53;39.0;5.0;15.87;21.0
Mon;1;2;2016;05:45;40.32;22.71;1.7;26.0;13.0;131.66;17.91;63.19;28.94;22.0;7.0;14.0;14.29;43.0;44.0;8.21;26.55;40.0;6.0;15.83;21.0
Mon;1;2;2016;06:00;39.84;23.28;1.59;25.5;10.0;130.89;18.9;63.26;29.94;22.0;5.0;13.5;14.31;43.0;45.0;8.98;26.54;39.0;5.0;15.85;21.0
Mon;1;2;2016;06:15;39.42;23.02;1.7;26.0;13.0;133.34;17.91;63.75;29.94;22.0;7.0;14.0;14.92;44.0;44.0;8.6;26.43;39.0;5.0;15.87;21.0
Mon;1;2;2016;06:30;39.26;22.03;1.58;26.0;11.0;133.1;18.9;64.25;29.94;22.0;4.0;14.0;14.46;44.0;46.0;8.25;27.51;39.0;6.0;15.86;21.0
Mon;1;2;2016;06:45;39.88;23.71;1.69;25.7;12.0;132.85;18.9;63.22;27.94;22.0;8.0;13.5;14.51;43.0;44.0;9.04;26.42;39.0;5.0;15.88;21.0
Mon;1;2;2016;07:00;39.83;22.92;1.59;25.8;11.0;132.64;17.91;64.69;28.94;22.0;5.0;14.0;15.53;43.0;45.0;8.49;28.11;39.0;5.0;15.75;21.0
Mon;1;2;2016;07:15;39.27;23.05;1.68;26.0;12.0;133.27;17.91;63.24;29.94;22.0;6.0;14.0;15.35;42.0;45.0;8.28;28.1;38.0;5.0;15.71;21.0
Mon;1;2;2016;07:30;39.59;22.97;1.61;26.0;11.0;132.8;18.9;64.36;29.94;22.0;7.0;14.0;14.73;44.0;44.0;8.82;28.36;39.0;5.0;15.71;21.0
Mon;1;2;2016;07:45;40.84;22.42;1.7;25.7;11.0;131.99;17.91;65.04;28.94;22.33;5.0;14.0;14.57;44.0;45.0;8.62;27.61;39.0;5.0;15.74;21.0
Mon;1;2;2016;08:00;39.25;23.47;1.59;26.0;13.0;133.52;17.91;64.32;29.94;22.33;7.0;13.5;14.98;43.0;44.0;8.59;28.47;38.0;5.0;15.78;21.0
Mon;1;2;2016;08:15;40.94;22.88;1.69;25.8;10.0;132.56;17.91;66.13;28.94;22.33;5.0;14.0;14.06;43.0;45.0;8.72;27.88;39.0;5.0;15.77;22.0
Mon;1;2;2016;08:30;41.44;23.08;1.59;26.0;13.0;132.65;18.9;64.56;30.94;22.0;7.0;14.0;14.15;44.0;44.0;8.29;28.63;39.0;5.0;15.85;21.0
Mon;1;2;2016;08:45;42.17;22.96;1.7;26.0;11.0;135.55;17.91;64.87;31.94;23.0;6.0;15.5;14.8;43.0;45.0;9.42;27.92;39.0;5.0;15.83;24.0
Mon;1;2;2016;09:00;41.37;23.99;1.59;26.0;13.0;132.88;18.9;70.58;31.94;22.0;6.0;18.0;14.27;44.0;45.0;8.62;28.44;39.0;5.0;15.84;27.0
Mon;1;2;2016;09:15;41.82;21.93;1.69;26.0;11.0;137.99;18.9;67.6;29.94;24.0;6.0;17.0;14.19;45.0;45.0;8.94;27.98;43.0;8.0;15.89;27.0
Mon;1;2;2016;09:30;41.62;24.08;1.59;26.0;13.0;134.96;17.91;69.56;31.94;23.0;7.0;18.0;14.91;44.0;46.0;8.83;27.63;40.0;7.0;15.89;29.0
Mon;1;2;2016;09:45;42.74;22.77;1.7;26.0;11.0;135.98;18.9;67.53;30.94;24.0;5.0;15.5;16.89;44.0;47.0;9.07;28.01;40.0;8.0;16.25;28.0
Mon;1;2;2016;10:00;41.5;23.33;1.59;26.0;14.0;138.06;19.9;67.49;30.94;24.0;8.0;15.0;17.46;44.0;48.0;8.64;28.01;42.0;7.0;17.53;28.0
Mon;1;2;2016;10:15;41.72;24.06;1.7;26.0;9.0;138.09;17.91;69.75;28.94;25.0;5.0;15.5;17.21;45.0;50.0;8.9;28.01;41.0;7.0;17.57;30.0
Mon;1;2;2016;10:30;42.35;22.03;1.59;26.0;15.0;134.68;19.9;69.61;30.94;24.0;7.0;14.0;17.86;44.0;50.0;9.56;28.01;40.0;7.0;17.53;29.0
Mon;1;2;2016;10:45;43.24;24.09;1.7;26.0;10.0;138.87;19.9;69.75;30.94;24.0;7.0;14.0;17.01;44.0;51.0;8.44;28.01;41.0;6.0;17.37;28.0
Mon;1;2;2016;11:00;41.62;24.09;1.68;26.0;15.0;136.22;18.9;69.82;29.94;25.0;6.0;15.0;17.27;45.0;50.0;9.33;26.89;40.0;7.0;16.96;29.0
Mon;1;2;2016;11:15;42.26;23.14;1.6;26.0;9.0;135.38;18.9;72.92;30.94;24.0;7.0;15.0;17.4;43.0;50.0;8.52;27.72;40.0;6.0;16.97;29.0
Mon;1;2;2016;11:30;42.02;24.08;1.69;26.0;15.0;136.8;19.9;72.63;29.94;25.0;6.0;14.5;17.21;45.0;50.0;9.27;26.8;41.0;7.0;16.93;29.0
Mon;1;2;2016;11:45;44.65;23.36;1.59;26.0;11.0;135.23;18.9;73.39;30.94;25.0;7.0;14.5;16.7;45.0;52.0;8.63;34.78;40.0;7.0;16.98;25.0
Mon;1;2;2016;12:00;42.11;22.67;1.69;26.0;13.0;136.2;19.9;71.63;30.94;24.0;6.0;15.0;16.99;44.0;52.0;9.44;27.52;42.0;7.0;17.55;25.0
Mon;1;2;2016;12:15;43.14;24.11;1.59;26.0;12.0;138.91;20.89;73.31;30.94;25.0;6.0;14.0;16.9;44.0;51.0;8.74;27.69;41.0;5.0;17.56;25.0
Mon;1;2;2016;12:30;43.78;24.14;1.69;26.5;14.0;135.51;19.9;72.99;30.94;25.0;8.0;14.0;18.15;45.0;50.0;9.07;26.67;46.0;5.0;17.53;26.0
Mon;1;2;2016;12:45;44.34;23.16;1.7;26.0;12.0;138.31;20.89;74.19;29.94;25.0;5.0;15.0;24.97;45.0;51.0;9.1;32.78;45.0;5.0;17.68;24.0
Mon;1;2;2016;13:00;42.84;24.19;1.58;26.0;14.0;140.14;19.9;74.27;30.94;24.0;7.0;14.0;17.83;44.0;50.0;9.15;28.05;44.0;5.0;16.2;23.0
Mon;1;2;2016;13:15;43.19;24.14;1.7;26.0;12.0;134.87;20.89;76.63;28.94;25.0;7.0;14.0;18.38;45.0;51.0;9.59;27.31;41.0;5.0;16.59;24.0
Mon;1;2;2016;13:30;43.12;23.12;1.59;26.0;13.0;138.24;18.9;75.91;30.94;24.0;6.0;15.0;18.06;44.0;52.0;9.05;30.0;42.0;5.0;16.73;23.0
Mon;1;2;2016;13:45;43.81;24.12;1.69;26.0;14.0;138.37;20.89;76.59;31.94;25.0;5.0;14.0;21.56;43.0;53.0;9.76;31.4;43.0;5.0;17.38;24.0
Mon;1;2;2016;14:00;43.17;24.1;1.66;26.0;12.0;135.59;21.89;76.58;30.94;24.0;8.0;15.0;25.1;45.0;53.0;9.53;27.47;42.0;5.0;17.49;25.0
Mon;1;2;2016;14:15;43.34;23.17;1.61;26.0;13.0;136.69;19.9;75.51;31.94;25.0;5.0;16.0;19.27;43.0;52.0;9.45;26.98;42.0;5.0;17.4;24.0
Mon;1;2;2016;14:30;45.13;24.1;1.7;26.0;12.0;142.22;20.89;76.57;30.94;24.0;7.0;17.5;23.15;45.0;53.0;9.19;34.07;42.0;6.0;19.23;25.0
Mon;1;2;2016;14:45;42.45;24.16;1.58;26.0;14.0;135.32;21.89;74.84;29.94;25.0;7.0;16.5;24.62;45.0;52.0;9.59;30.9;42.0;5.0;29.09;24.0
Mon;1;2;2016;15:00;43.65;23.13;1.7;26.0;11.0;138.16;19.9;74.54;29.94;25.0;6.0;17.0;18.91;45.0;55.0;8.8;28.92;44.0;5.0;18.83;25.0
Mon;1;2;2016;15:15;43.93;24.08;1.62;26.0;15.0;141.23;18.9;74.82;31.94;26.0;8.0;15.0;22.73;44.0;52.0;9.34;27.75;43.0;6.0;20.97;24.0
Mon;1;2;2016;15:30;43.61;24.07;1.66;26.5;10.0;136.79;19.9;74.16;33.93;24.0;5.0;14.5;23.63;46.0;56.0;8.8;27.39;43.0;5.0;24.43;26.0
Mon;1;2;2016;15:45;42.46;23.03;1.69;26.0;16.0;138.57;20.89;72.99;29.94;25.0;8.0;14.5;21.09;43.0;52.0;9.32;29.75;43.0;5.0;18.65;24.0
Mon;1;2;2016;16:00;43.32;24.05;1.59;26.0;12.0;139.37;19.9;73.56;31.94;25.0;6.0;15.0;23.45;46.0;55.0;8.44;29.2;43.0;6.0;20.63;25.0
Mon;1;2;2016;16:15;43.86;24.07;1.69;26.5;15.0;134.72;20.89;75.37;30.94;27.0;7.0;14.0;23.3;43.0;53.0;9.64;28.27;43.0;5.0;20.63;25.0
Mon;1;2;2016;16:30;42.89;23.05;1.58;26.0;11.0;139.5;20.89;73.36;29.94;30.0;6.0;15.0;21.36;45.0;54.0;8.49;27.81;43.0;6.0;20.63;24.0
Mon;1;2;2016;16:45;43.14;24.06;1.69;26.0;14.0;138.24;19.9;73.68;29.94;20.0;7.0;14.0;22.46;45.0;54.0;9.53;30.77;43.0;6.0;23.42;24.0
Mon;1;2;2016;17:00;43.27;24.05;1.69;26.0;11.0;135.71;19.9;73.94;30.94;22.0;7.0;15.0;21.85;45.0;51.0;8.56;26.69;43.0;6.0;24.37;25.0
Mon;1;2;2016;17:15;44.39;23.09;1.58;26.0;15.0;135.8;19.9;73.11;29.94;22.0;6.0;16.0;20.37;44.0;55.0;9.48;27.77;43.0;6.0;18.4;23.0
Mon;1;2;2016;17:30;42.21;24.07;1.69;26.0;10.0;138.74;18.9;72.45;29.94;22.0;7.0;15.0;22.75;44.0;53.0;8.73;29.53;43.0;5.0;20.53;25.0
Mon;1;2;2016;17:45;42.18;23.93;1.59;26.0;15.0;134.23;19.9;72.82;31.94;21.0;6.0;14.0;18.65;45.0;54.0;9.24;29.44;43.0;6.0;22.31;24.0
Mon;1;2;2016;18:00;43.25;22.73;1.69;26.0;10.0;137.01;18.9;69.62;29.94;22.0;7.0;15.0;19.81;44.0;54.0;8.86;26.18;44.0;6.0;16.28;23.0
Mon;1;2;2016;18:15;43.64;23.29;1.59;26.0;14.0;136.34;19.9;70.33;28.94;21.0;7.0;16.0;19.37;44.0;51.0;8.94;29.36;45.0;6.0;16.02;23.0
Mon;1;2;2016;18:30;39.08;23.86;1.58;25.7;12.0;135.97;19.9;70.58;31.94;21.0;6.0;16.0;18.2;43.0;49.0;8.95;27.26;42.0;6.0;15.99;23.0
Mon;1;2;2016;18:45;40.72;23.32;1.58;26.0;11.0;132.86;17.91;70.32;30.94;21.0;7.0;17.0;16.94;44.0;50.0;9.07;27.67;39.0;7.0;15.98;23.0
Mon;1;2;2016;19:00;42.3;24.09;1.58;26.0;13.0;134.29;18.9;68.56;28.94;20.0;6.0;16.0;19.77;45.0;47.0;8.2;27.89;41.0;7.0;15.99;22.0
Mon;1;2;2016;19:15;40.84;23.52;1.58;25.8;12.0;134.64;18.9;64.87;30.94;21.0;5.0;14.0;16.83;44.0;49.0;9.28;27.66;40.0;5.0;16.05;21.0
Mon;1;2;2016;19:30;41.23;23.54;1.57;26.0;13.0;134.56;17.91;66.33;30.94;20.0;7.0;14.0;16.92;44.0;47.0;8.15;26.78;39.0;6.0;15.92;22.0
Mon;1;2;2016;19:45;41.19;22.83;1.57;26.0;11.0;134.26;18.9;68.09;28.94;20.0;6.0;13.5;15.72;43.0;48.0;9.08;27.12;40.0;5.0;15.88;22.0
Mon;1;2;2016;20:00;42.09;23.52;1.58;26.0;12.0;133.67;17.91;66.93;29.94;20.0;6.0;13.5;17.77;44.0;47.0;8.38;28.87;40.0;6.0;15.93;22.0
Mon;1;2;2016;20:15;39.66;23.63;1.58;26.0;12.0;135.53;18.9;66.85;30.94;20.0;6.0;14.0;15.78;44.0;49.0;8.59;28.38;39.0;5.0;15.97;21.0
Mon;1;2;2016;20:30;40.19;23.48;1.58;25.7;12.0;133.83;18.9;65.75;28.94;20.0;6.0;14.0;16.0;44.0;46.0;9.13;27.03;40.0;5.0;15.89;21.0
Mon;1;2;2016;20:45;40.59;22.56;1.57;26.0;13.0;133.73;18.9;31.26;28.94;20.0;6.0;14.0;15.29;44.0;48.0;8.34;26.99;39.0;5.0;15.88;23.0
Mon;1;2;2016;21:00;40.53;23.91;1.58;25.8;10.0;134.38;17.91;100.45;30.94;20.0;7.0;13.0;15.55;44.0;46.0;9.05;28.45;40.0;6.0;15.89;20.0
Mon;1;2;2016;21:15;39.26;24.07;1.57;26.0;13.0;135.72;18.9;64.2;28.94;19.0;5.0;14.0;15.99;43.0;48.0;8.21;27.34;39.0;5.0;15.86;21.0
Mon;1;2;2016;21:30;39.32;21.8;1.58;26.0;11.0;131.94;18.9;64.87;28.94;20.0;7.0;14.0;15.4;44.0;47.0;9.05;26.6;39.0;5.0;15.9;21.0
Mon;1;2;2016;21:45;40.56;24.0;1.58;26.0;11.0;132.69;17.91;66.15;29.94;20.0;6.0;13.5;15.34;43.0;47.0;8.53;27.24;39.0;6.0;15.87;21.0
Mon;1;2;2016;22:00;39.17;24.09;1.58;26.0;13.0;134.95;18.9;64.19;29.94;20.0;5.0;14.0;15.74;44.0;46.0;8.97;26.57;39.0;5.0;15.86;22.0
Mon;1;2;2016;22:15;39.42;23.04;1.58;25.5;11.0;133.45;18.9;64.14;28.94;20.0;7.0;14.0;15.43;43.0;47.0;8.53;27.24;39.0;5.0;15.84;20.0
Mon;1;2;2016;22:30;39.48;22.8;1.58;26.0;13.0;133.56;17.91;65.19;29.94;19.0;6.0;13.5;15.24;44.0;47.0;8.89;28.36;39.0;5.0;15.89;21.0
Mon;1;2;2016;22:45;41.21;23.61;1.59;26.0;11.0;133.72;18.9;63.18;29.94;20.0;6.0;14.0;15.47;44.0;47.0;8.74;27.49;39.0;6.0;15.78;20.0
Mon;1;2;2016;23:00;38.42;23.54;1.57;26.0;12.0;133.95;18.9;63.51;28.94;20.0;7.0;14.0;15.73;44.0;46.0;8.14;26.65;39.0;5.0;15.87;22.0
Mon;1;2;2016;23:15;39.6;23.14;1.58;25.7;11.0;133.27;17.91;65.07;29.94;20.0;6.0;13.0;15.26;44.0;47.0;9.26;27.36;39.0;5.0;15.85;21.0
Mon;1;2;2016;23:30;39.54;23.28;1.58;25.8;11.0;136.13;18.9;62.76;28.94;19.0;6.0;14.0;14.55;43.0;47.0;8.17;27.0;38.0;5.0;15.82;21.0
Mon;1;2;2016;23:45;40.53;22.63;1.58;26.0;13.0;131.01;18.9;64.44;29.94;20.0;6.0;14.0;15.1;43.0;46.0;8.69;28.01;40.0;6.0;15.86;20.0
Tue;2;2;2016;00:00;38.73;23.96;1.57;26.0;11.0;134.26;17.91;62.79;29.94;20.0;5.0;14.0;15.18;44.0;46.0;8.69;27.37;39.0;5.0;15.84;21.0
Tue;2;2;2016;00:15;39.48;21.91;1.58;26.0;13.0;130.69;16.91;65.29;29.94;20.0;7.0;13.0;15.0;43.0;47.0;9.15;27.58;39.0;5.0;15.83;20.0
Tue;2;2;2016;00:30;39.72;23.96;1.58;26.0;10.0;134.47;18.9;62.68;29.94;20.0;6.0;14.0;14.79;43.0;46.0;8.28;27.62;38.0;6.0;15.83;21.0
Tue;2;2;2016;00:45;39.97;22.61;1.58;26.0;12.0;134.28;18.9;64.16;29.94;19.67;6.0;14.0;14.94;43.0;47.0;8.44;27.46;39.0;5.0;15.9;20.0
Tue;2;2;2016;01:00;38.95;23.3;1.58;26.0;12.0;134.33;17.91;62.56;28.94;19.67;6.0;14.0;14.49;44.0;45.0;9.09;27.72;39.0;5.0;15.82;22.0
Tue;2;2;2016;01:15;39.36;23.1;1.58;25.7;11.0;131.47;18.9;64.04;28.94;19.67;6.0;14.0;14.54;43.0;45.0;8.37;27.39;38.0;5.0;15.83;21.0
