weekday;day;month;year;time;EA+ AVAC IT ALF1P0 (KWh);EA+ AVAC IT BVTP1 (KWh);EA+ AVAC IT ALF2A1 (KWh);EA+ AVAC IT ALF2A7+A8 (KWh);EA+ AVAC IT PDG (KWh);EA+ AVAC IT SNT (KWh);EA+ AVAC CMB (KWh);EA+ AVAC IT ALF1P-1 (KWh);EA+ AVAC FNC (KWh);EA+ AVAC IT FAR (KWh);EA+ AVAC IT BVTP0 (KWh);EA+ AVAC FMC (KWh);EA+ AVAC IT PTM (KWh);EA+ AVAC IT RAN (KWh);EA+ AVAC IT MAT (KWh);EA+ AVAC IT AVR (KWh)
Mon;1;1;2018;11:45;8,4;11,3;9,75;38,99;2,3;2,13;3,34;21,13;2,07;4,89;11,56;2,06;0,0;1,6;8,47;3,83
Mon;1;1;2018;12:00;11,6;12,4;10,04;38,19;1,34;2,69;3,38;20,49;2,07;1,35;11,68;2,07;0,06;1,7;8,46;3,83
Mon;1;1;2018;12:15;6,8;13,0;10,32;37,66;3,33;2,77;3,42;21,37;2,07;3,28;11,86;2,1;0,01;1,7;8,48;3,92
Mon;1;1;2018;12:30;11,3;11,0;10,07;41,4;2,46;2,22;3,37;21,52;2,07;3,88;11,24;2,1;0,0;2,0;8,46;3,73
Mon;1;1;2018;12:45;7,7;12,0;10,11;38,04;1,28;2,68;3,37;21,45;2,07;3,73;11,24;2,11;0,0;2,0;8,44;4,02
Mon;1;1;2018;13:00;10,6;11,3;10,19;36,91;2,94;2,89;3,4;20,66;2,18;3,73;10,51;2,11;0,0;2,1;8,45;3,92
Mon;1;1;2018;13:15;9,6;11,4;10,17;36,88;2,79;2,92;3,42;21,43;3,16;3,73;13,17;2,11;0,0;2,1;8,49;4,03
Mon;1;1;2018;13:30;11,9;13,0;10,14;38,01;2,27;2,92;3,39;21,09;2,35;3,73;12,81;2,1;0,0;2,1;8,49;3,83
Mon;1;1;2018;13:45;8,8;11,2;10,18;41,89;1,8;2,93;3,39;20,89;2,07;3,73;12,79;2,12;0,0;2,3;8,51;3,93
Mon;1;1;2018;14:00;9,9;11,5;10,32;37,63;3,12;3,26;3,39;21,36;2,07;2,95;11,46;2,11;0,0;2,3;8,47;3,83
Mon;1;1;2018;14:15;10,5;11,9;10,08;37,81;1,88;3,42;3,39;21,39;2,07;3,57;13,67;2,1;0,0;2,3;8,76;3,93
Mon;1;1;2018;14:30;11,4;12,9;9,99;40,98;2,77;3,43;3,39;20,55;2,07;3,59;12,21;2,11;0,0;2,4;10,19;3,93
Mon;1;1;2018;14:45;9,4;11,3;10,37;36,51;2,2;3,44;3,39;21,08;2,07;3,28;11,61;2,1;0,06;2,4;10,26;3,83
Mon;1;1;2018;15:00;8,8;11,8;10,07;39,35;2,52;7,68;3,4;20,53;2,07;3,74;15,47;2,11;0,02;2,4;10,26;3,93
Mon;1;1;2018;15:15;10,1;11,2;9,59;36,58;2,31;3,71;3,39;21,19;2,1;3,74;10,9;2,11;0,01;2,4;10,28;3,93
Mon;1;1;2018;15:30;8,3;11,5;9,71;38,0;2,22;7,36;3,39;20,72;3,15;3,74;12,84;2,11;0,0;2,4;10,26;3,93
Mon;1;1;2018;15:45;11,4;13,3;10,2;41,24;3,15;5,58;3,39;20,67;2,46;3,74;13,01;2,11;0,0;2,3;10,27;3,83
Mon;1;1;2018;16:00;9,8;11,3;9,7;37,43;1,24;5,72;3,39;20,66;2,08;3,74;12,24;2,06;0,0;2,3;10,26;4,03
Mon;1;1;2018;16:15;11,3;11,0;9,41;35,6;3,14;6,94;3,39;20,73;2,08;3,74;10,54;2,08;0,0;2,0;10,25;4,93
Mon;1;1;2018;16:30;7,0;12,0;10,13;36,87;1,82;4,82;3,38;19,91;2,08;3,74;14,62;2,1;0,0;2,3;10,26;3,73
Mon;1;1;2018;16:45;12,2;13,3;9,73;40,27;2,74;5,27;3,39;20,36;2,07;3,74;10,93;2,06;0,0;2,1;10,25;4,67
Mon;1;1;2018;17:00;9,3;10,9;9,29;36,01;2,15;7,84;3,37;20,22;2,07;3,74;11,52;2,06;0,0;2,3;10,24;4,94
Mon;1;1;2018;17:15;11,9;11,7;10,11;39,53;2,45;3,69;3,37;20,05;2,07;3,74;13,84;2,09;0,01;2,1;10,2;5,15
Mon;1;1;2018;17:30;6,9;11,5;9,98;36,63;2,55;6,65;3,33;20,51;2,25;3,74;10,31;2,06;0,07;2,2;10,24;5,58
Mon;1;1;2018;17:45;11,2;11,3;9,26;37,43;2,05;3,7;3,3;19,56;3,16;3,74;11,74;2,07;0,02;2,1;10,24;3,83
Mon;1;1;2018;18:00;6,8;13,5;9,78;36,08;2,89;6,13;3,29;20,51;2,32;1,56;10,75;2,07;0,0;2,1;10,21;4,34
Mon;1;1;2018;18:15;11,6;11,6;9,98;36,69;1,81;3,92;3,3;19,7;2,07;3,28;13,33;2,07;0,0;2,1;10,22;3,73
Mon;1;1;2018;18:30;9,0;10,9;9,6;36,58;3,14;3,51;3,18;20,01;2,07;3,28;10,13;2,07;0,0;2,1;10,25;4,77
Mon;1;1;2018;18:45;12,0;11,7;9,64;38,19;1,32;4,62;3,2;20,16;1,98;3,87;10,55;2,08;0,0;1,9;10,25;4,29
Mon;1;1;2018;19:00;7,9;13,3;9,72;37,32;3,13;3,69;3,2;19,99;1,97;4,57;14,06;2,07;0,0;2,1;10,21;5,15
Mon;1;1;2018;19:15;10,0;10,9;9,93;36,13;1,55;5,97;3,14;20,22;1,97;4,57;9,76;2,07;0,0;1,9;10,22;4,67
Mon;1;1;2018;19:30;10,9;12,1;9,57;37,9;2,9;3,42;3,15;20,21;2,67;1,31;9,97;2,07;0,0;1,8;10,27;3,83
Mon;1;1;2018;19:45;9,9;11,2;9,38;37,78;2,02;4,16;3,09;19,81;2,75;3,43;12,08;2,05;0,01;1,9;10,29;3,53
Mon;1;1;2018;20:00;9,8;11,3;10,16;36,92;2,47;3,41;3,1;19,91;1,97;3,43;11,37;2,07;0,0;1,9;10,25;4,63
Mon;1;1;2018;20:15;8,0;13,6;9,63;37,24;2,26;4,12;3,04;19,69;1,97;3,67;10,9;2,05;0,13;2,1;10,24;4,54
Mon;1;1;2018;20:30;10,5;10,8;9,23;36,53;2,45;3,4;3,05;20,26;1,97;3,67;9,98;2,05;0,06;1,9;10,24;3,53
Mon;1;1;2018;20:45;7,6;11,2;9,87;37,89;2,46;3,41;3,04;20,18;1,97;3,67;11,2;2,06;0,01;1,9;10,27;4,51
Mon;1;1;2018;21:00;12,2;12,1;9,66;37,89;2,09;6,16;3,02;20,82;1,97;3,67;12,85;2,06;0,01;1,9;10,27;5,19
Mon;1;1;2018;21:15;8,9;12,3;9,3;37,17;2,86;3,42;3,0;20,42;2,1;3,67;9,31;2,04;0,01;1,8;10,3;4,25
Mon;1;1;2018;21:30;10,3;12,1;9,21;38,08;1,63;3,21;2,99;20,75;3,04;5,62;11,33;2,02;0,01;1,8;10,27;3,53
Mon;1;1;2018;21:45;7,1;12,2;9,72;36,47;3,14;2,91;3,08;19,9;2,3;5,62;12,28;2,06;0,01;1,9;10,3;3,53
Mon;1;1;2018;22:00;12,5;10,8;9,22;36,95;1,54;2,92;3,01;20,19;1,97;5,62;10,51;2,04;0,01;1,9;8,95;3,53
Mon;1;1;2018;22:15;9,0;11,9;9,51;37,64;3,14;2,93;2,91;20,37;1,97;5,62;11,18;2,03;0,01;2,1;8,54;3,53
Mon;1;1;2018;22:30;11,3;13,8;10,31;35,15;1,5;3,34;3,12;19,91;1,98;5,62;9,86;2,05;0,01;1,9;8,57;4,17
Mon;1;1;2018;22:45;7,1;10,6;9,67;39,19;3,14;2,94;2,97;20,22;1,98;1,56;13,67;2,05;0,01;1,9;8,59;5,18
Mon;1;1;2018;23:00;10,6;12,1;8,92;37,74;1,53;2,93;2,78;20,19;1,98;0,68;10,31;2,05;0,21;1,9;8,54;3,53
Mon;1;1;2018;23:15;7,5;11,0;9,6;34,65;3,14;2,94;3,15;20,04;2,03;3,58;10,47;2,06;0,06;1,9;8,57;5,02
Mon;1;1;2018;23:30;10,6;11,6;9,75;36,86;1,44;2,85;2,89;20,32;3,05;3,9;11,37;2,07;0,01;1,9;8,57;4,89
Mon;1;1;2018;23:45;10,4;13,9;9,21;38,3;3,13;2,25;2,8;20,26;2,33;3,9;11,65;2,07;0,01;1,8;8,59;4,05
Tue;2;1;2018;00:00;8,7;11,6;9,57;36,91;1,77;2,93;3,06;21,03;1,98;3,9;10,87;2,07;0,01;1,9;8,6;3,93
Tue;2;1;2018;00:15;8,8;10,5;9,55;35,95;2,92;2,96;2,97;21,28;1,98;3,9;10,87;2,07;0,01;1,7;8,57;3,63
Tue;2;1;2018;00:30;11,0;11,9;9,48;36,0;1,67;2,34;2,74;21,13;1,98;3,9;10,35;2,07;0,01;1,9;8,55;4,32
Tue;2;1;2018;00:45;10,6;11,2;9,2;37,78;3,04;2,54;3,08;20,38;1,98;3,24;11,31;2,07;0,01;1,8;8,51;3,43
Tue;2;1;2018;01:00;7,3;14,4;9,83;36,68;1,56;2,86;2,73;20,6;1,98;5,25;11,37;2,08;0,01;1,9;8,51;3,63
Tue;2;1;2018;01:15;10,8;12,6;9,42;35,04;3,14;2,11;3,07;20,99;2,57;5,25;10,74;2,07;0,01;1,9;8,46;4,73
Tue;2;1;2018;01:30;6,3;12,6;9,44;35,68;2,29;2,15;2,99;20,81;2,89;4,36;10,59;2,08;0,01;1,9;8,5;4,39
Tue;2;1;2018;01:45;11,0;13,0;9,1;37,27;3,35;2,74;2,91;20,96;1,99;4,36;10,15;2,08;0,23;1,9;8,52;4,41
Tue;2;1;2018;02:00;6,9;14,0;9,56;35,73;0,83;2,16;2,82;21,3;1,99;4,36;13,5;2,07;0,05;1,9;8,54;3,53
Tue;2;1;2018;02:15;12,9;12,6;9,28;35,82;3,05;2,04;2,81;21,68;1,98;4,36;10,16;2,07;0,01;2,0;8,54;3,64
Tue;2;1;2018;02:30;6,9;12,4;9,18;36,3;2,97;2,62;2,59;21,0;1,98;4,36;9,97;2,08;0,01;1,8;8,56;3,63
Tue;2;1;2018;02:45;10,4;12,8;9,86;35,65;1,14;2,35;2,93;21,11;1,98;4,36;10,69;2,07;0,01;1,8;8,56;3,43
Tue;2;1;2018;03:00;8,2;13,2;9,31;36,65;3,34;2,04;2,75;20,76;1,98;4,36;10,11;2,07;0,01;1,8;8,56;3,63
Tue;2;1;2018;03:15;11,9;12,7;9,41;35,78;2,99;2,22;2,65;21,18;2,8;4,36;9,43;2,07;0,01;1,7;8,56;3,97
Tue;2;1;2018;03:30;8,2;12,4;8,89;36,28;0,76;2,62;2,76;20,95;2,57;4,36;10,23;2,07;0,01;1,7;8,56;3,53
Tue;2;1;2018;03:45;9,0;12,2;9,92;37,05;3,23;2,05;2,6;20,33;1,99;4,36;10,45;2,06;0,01;1,7;8,54;3,63
Tue;2;1;2018;04:00;8,6;12,8;9,35;36,16;3,17;2,05;2,73;20,91;1,98;2,94;10,06;2,04;0,01;1,6;8,57;3,33
Tue;2;1;2018;04:15;8,0;14,0;9,16;36,7;0,75;2,52;2,71;20,86;1,99;2,94;12,67;2,04;0,0;1,7;8,55;3,53
Tue;2;1;2018;04:30;9,6;12,5;9,56;35,63;3,12;2,29;2,69;21,19;1,98;2,94;9,35;2,03;0,09;1,7;8,57;3,33
Tue;2;1;2018;04:45;7,2;12,1;9,54;36,05;3,12;2,04;2,62;21,21;1,99;2,94;10,47;2,01;0,02;1,6;8,56;3,43
Tue;2;1;2018;05:00;10,7;12,1;9,55;36,53;0,76;2,05;2,73;20,9;2,38;2,94;10,14;2,04;0,0;1,6;8,55;3,43
Tue;2;1;2018;05:15;9,0;13,6;9,23;38,23;3,3;2,67;2,68;20,73;2,98;0,73;9,88;2,02;0,0;1,7;8,55;3,33
Tue;2;1;2018;05:30;11,5;13,2;9,77;36,92;3,13;2,07;2,66;20,31;1,99;3,03;10,43;2,05;0,0;1,6;8,55;3,33
Tue;2;1;2018;05:45;6,3;12,4;9,74;35,2;0,75;2,05;2,62;20,64;1,99;3,07;10,81;2,04;0,0;1,7;8,54;3,13
Tue;2;1;2018;06:00;11,4;12,6;9,19;36,33;3,14;2,04;2,82;20,63;1,99;3,12;9,29;2,06;0,0;1,7;8,52;3,43
Tue;2;1;2018;06:15;8,6;12,3;9,59;36,79;3,1;2,63;2,64;20,5;1,98;3,15;10,76;2,06;0,01;1,8;8,5;3,53
Tue;2;1;2018;06:30;11,9;14,5;9,79;38,21;0,79;2,06;2,83;20,72;1,99;3,16;10,71;2,07;0,0;1,7;8,48;3,12
Tue;2;1;2018;06:45;7,1;11,8;9,21;37,77;3,3;1,99;2,79;20,79;1,99;3,21;11,22;2,07;0,01;1,7;8,48;3,23
Tue;2;1;2018;07:00;10,3;12,0;9,49;34,78;2,72;2,03;2,69;20,93;2,41;4,33;10,29;2,05;0,0;1,7;8,49;3,23
Tue;2;1;2018;07:15;7,6;12,6;9,77;35,27;0,79;2,48;2,99;20,79;3,05;4,33;10,73;2,07;0,0;1,7;8,52;3,24
Tue;2;1;2018;07:30;9,3;13,8;9,26;37,73;3,29;2,27;2,91;20,9;1,98;1,26;9,94;2,09;0,0;1,8;8,54;3,34
Tue;2;1;2018;07:45;8,7;12,8;9,45;38,11;3,31;2,05;2,92;20,78;1,98;3,57;10,76;2,09;0,1;1,6;8,53;3,34
Tue;2;1;2018;08:00;8,0;12,4;9,23;35,7;0,74;2,04;2,81;20,55;1,99;5,56;10,28;2,1;0,02;1,9;8,51;3,14
Tue;2;1;2018;08:15;10,0;12,4;9,9;35,37;2,89;2,27;2,89;21,19;1,99;6,65;9,77;2,21;0,0;1,7;8,46;3,33
Tue;2;1;2018;08:30;7,3;12,2;9,51;36,45;3,31;2,44;2,87;21,03;2,08;6,65;10,76;2,93;0,0;1,9;8,5;3,43
Tue;2;1;2018;08:45;12,3;14,0;9,22;37,84;0,96;2,02;2,54;21,36;2,09;1,99;9,93;2,95;0,0;1,9;8,47;3,12
Tue;2;1;2018;09:00;8,4;11,5;9,83;37,53;2,72;2,06;2,61;20,48;2,13;4,77;10,53;2,94;0,0;2,0;8,45;3,23
Tue;2;1;2018;09:15;11,2;12,0;9,78;36,14;3,31;2,5;2,61;20,62;3,16;3,68;13,03;2,98;0,0;1,9;8,43;3,42
Tue;2;1;2018;09:30;6,4;11,6;9,43;36,97;1,64;2,75;2,59;20,62;2,42;3,68;10,18;3,91;0,0;2,1;8,43;3,42
Tue;2;1;2018;09:45;13,1;12,1;9,57;37,62;1,64;2,23;2,75;21,02;2,08;1,88;10,42;6,25;0,0;2,1;8,39;3,42
Tue;2;1;2018;10:00;8,1;13,4;9,71;37,05;3,3;2,44;2,89;21,07;2,08;5,08;11,05;4,64;0,0;2,0;8,39;3,32
Tue;2;1;2018;10:15;10,9;12,2;9,74;37,0;2,96;2,94;2,93;20,39;2,08;5,07;10,29;5,1;0,0;2,1;8,41;3,52
Tue;2;1;2018;10:30;7,2;12,4;9,61;37,28;0,73;2,8;3,07;19,93;2,08;3,76;11,25;4,52;0,1;2,1;8,39;3,42
Tue;2;1;2018;10:45;10,7;12,0;9,94;35,68;2,86;2,31;3,18;20,64;2,08;3,76;13,23;5,15;0,02;2,2;8,4;3,73
Tue;2;1;2018;11:00;7,7;12,4;10,57;39,33;3,32;2,92;3,02;20,45;2,57;1,15;10,25;4,85;0,0;2,2;8,41;3,73
Tue;2;1;2018;11:15;12,2;12,2;9,62;38,2;1,73;3,35;3,06;20,27;3,14;3,31;11,04;6,34;0,0;2,1;8,61;3,73
Tue;2;1;2018;11:30;9,5;13,9;9,98;35,64;1,64;3,42;3,37;20,57;2,08;3,31;12,33;4,74;0,0;2,5;10,06;3,33
Tue;2;1;2018;11:45;9,7;11,9;10,45;35,57;3,32;3,43;3,19;20,83;2,08;3,31;11,67;5,72;0,0;2,4;10,14;3,42
Tue;2;1;2018;12:00;8,9;12,5;9,61;37,91;2,85;3,42;3,18;20,64;2,08;3,31;12,11;4,53;0,01;2,4;10,13;3,43
Tue;2;1;2018;12:15;10,6;11,9;9,63;38,66;0,97;3,55;2,78;21,2;2,07;3,31;11,36;5,7;0,0;2,5;10,11;3,33
Tue;2;1;2018;12:30;11,2;12,3;10,14;41,53;3,34;8,0;2,93;20,3;2,07;3,31;13,21;5,09;0,0;3,3;10,12;3,33
Tue;2;1;2018;12:45;8,4;14,0;9,55;35,38;3,02;6,14;2,93;20,67;2,36;3,31;11,04;4,55;0,0;2,7;10,11;3,33
Tue;2;1;2018;13:00;10,4;11,6;10,1;35,44;1,12;4,39;2,92;20,27;3,16;1,32;13,0;5,01;0,01;2,5;10,1;3,43
Tue;2;1;2018;13:15;7,6;12,3;10,49;39,39;3,17;7,13;3,09;21,08;2,27;3,25;13,67;4,75;0,06;2,7;10,11;3,33
Tue;2;1;2018;13:30;11,0;12,4;9,92;36,29;1,3;6,07;3,75;20,54;2,08;4,32;11,27;4,95;0,02;2,5;10,89;3,33
Tue;2;1;2018;13:45;7,2;11,8;10,01;36,03;3,13;5,61;3,17;20,81;2,08;4,32;14,03;4,76;0,0;2,7;13,18;3,32
Tue;2;1;2018;14:00;13,2;12,5;10,46;38,07;2,67;7,64;3,58;20,81;2,08;1,38;12,27;7,1;0,0;2,9;13,17;18,65
Tue;2;1;2018;14:15;9,1;13,8;10,07;38,34;1,84;5,43;3,16;21,02;2,08;5,9;12,19;8,32;0,0;2,7;13,05;4,58
Tue;2;1;2018;14:30;11,7;12,1;10,04;37,0;3,15;6,3;3,68;20,89;2,08;5,9;14,14;8,06;0,0;2,8;13,07;3,43
Tue;2;1;2018;14:45;6,6;13,1;10,32;36,41;1,59;5,79;3,95;21,04;3,09;2,25;12,74;6,66;0,0;2,8;12,71;3,73
Tue;2;1;2018;15:00;13,6;12,2;10,3;36,31;3,14;7,86;4,07;21,08;2,8;6,64;13,17;6,32;0,0;2,9;12,59;6,59
Tue;2;1;2018;15:15;8,3;11,9;10,08;39,36;1,69;6,48;3,79;19,71;2,08;6,64;13,9;6,79;0,0;2,9;13,03;3,43
Tue;2;1;2018;15:30;11,7;12,7;10,19;38,36;2,9;7,0;3,93;21,03;2,08;2,01;16,3;6,38;0,01;2,8;13,05;3,43
Tue;2;1;2018;15:45;6,9;13,3;10,32;34,37;2,35;5,64;5,73;20,65;2,08;2,78;13,91;4,31;0,0;2,9;16,09;7,35
Tue;2;1;2018;16:00;10,9;12,3;10,03;37,72;2,34;8,63;5,51;20,77;2,08;4,93;14,76;5,81;0,06;2,9;16,09;3,63
Tue;2;1;2018;16:15;8,3;12,2;9,98;39,21;3,01;5,02;5,28;20,43;2,08;4,93;11,85;8,3;0,02;2,9;7,07;4,56
Tue;2;1;2018;16:30;12,6;12,3;10,43;36,81;1,45;8,81;3,73;20,87;2,73;3,25;14,38;9,45;0,0;2,9;13,09;4,09
Tue;2;1;2018;16:45;8,1;12,1;10,33;36,05;3,14;6,27;3,45;20,93;3,08;3,25;14,72;9,76;0,0;2,9;11,66;4,98
Tue;2;1;2018;17:00;10,1;14,5;10,04;37,38;1,9;7,62;3,5;20,58;2,08;3,25;10,79;6,47;0,0;2,9;10,94;6,16
Tue;2;1;2018;17:15;10,7;12,2;10,34;38,15;2,81;4,11;3,5;19,66;2,08;3,75;15,99;5,38;0,0;2,9;10,14;3,61
Tue;2;1;2018;17:30;10,9;12,7;10,41;37,97;2,22;9,37;3,51;20,46;2,08;3,75;12,84;5,37;0,0;2,9;10,07;7,47
Tue;2;1;2018;17:45;9,4;12,7;10,03;36,87;2,58;4,2;3,46;20,33;2,08;0,7;11,88;4,85;0,0;2,9;10,89;3,43
Tue;2;1;2018;18:00;8,9;12,9;10,2;36,36;2,47;8,36;3,29;20,48;2,08;3,95;15,16;4,53;0,01;3,0;11,98;5,4
