WiseMetering realtime, exported on November 19, 2016 17:48, by Pedro Castanheira of Vodafone.;;;;;;;;;;;;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ OMCs (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ GERAL FAR (KWh);EA+ GERAL 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ GERAL MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ GERAL PTM (KWh);EA+ GERAL 2 SNT (KWh);EA+ GERAL FMC (KWh)
Fri;01;01;2016;08:45;382,5;19;70,04;30;24;4;13,5;13,52;44;49;8,14;25,97;39;5;16,33;21
Fri;01;01;2016;09:00;388,4;19;73,11;30;24;7;12,5;13,61;43;51;8,96;25,9;38;5;16,32;21
Fri;01;01;2016;09:15;387,09;19;73,16;29;24;5;13;14,04;44;49;8,31;28,25;39;4;16,34;21
Fri;01;01;2016;09:30;387,7;20;72,97;29;24;6;12,5;14,02;43;51;8,52;25,31;39;5;16,37;21
Fri;01;01;2016;09:45;386,9;19;73,75;30;25;7;14;14,02;43;48;9,12;25,68;37;4;16,33;21
Fri;01;01;2016;10:00;388,15;19;72,87;30;24;4;13;14,04;44;52;8,41;25,39;39;5;16,43;21
Fri;01;01;2016;10:15;390,94;19;72,83;30;24;7;12,5;14,03;43;50;8,28;28,98;39;5;16,32;21
Fri;01;01;2016;10:30;390,45;20;72,8;30;24;5;13;14,05;44;52;9,16;25,08;39;4;16,37;22
Fri;01;01;2016;10:45;391;19;72,76;28;24;6;13;14,03;45;51;8,73;25,97;41;5;16,52;21
Fri;01;01;2016;11:00;398,05;20;72,82;29;25;6;13;14,06;44;52;8,21;30,56;41;5;16,4;21
Fri;01;01;2016;11:15;393,72;18;73,8;30;24;6;14;14,05;45;52;9,13;26,25;40;4;16,49;21
Fri;01;01;2016;11:30;387,87;19;72,82;30;24;6;12;14,07;43;51;8,21;25,29;40;5;16,48;21
Fri;01;01;2016;11:45;387,3;18;72,77;29;24;5;13;14,05;43;52;9,25;25,68;40;4;16,55;21
Fri;01;01;2016;12:00;397,22;20;72,82;30;24;6;13;14,07;44;51;8,6;30,6;40;4,67;16,47;22
Fri;01;01;2016;12:15;394,53;20;72,82;29;25;7;12,5;14,08;44;53;8,26;26,7;40;4,67;16,51;21
Fri;01;01;2016;12:30;402,94;20;72,81;30;24;5;14,5;22,38;43,67;53;9,21;26,04;40;4,67;16,67;21
Fri;01;01;2016;12:45;391,66;20;73,84;29;24;6;12,5;14,1;43,67;52;8,58;25,51;40;5;16,47;21
Fri;01;01;2016;13:00;404,57;20;72,91;29;24;6;12,5;20,86;43,67;53;8,34;31,74;40;5;16,56;21
Fri;01;01;2016;13:15;391,26;20;72,98;31;24;6;12,5;13,88;43;52;9,24;27,1;38;4;16,56;21
Fri;01;01;2016;13:30;394,72;20;72,92;29;25;5;13;15,34;44;52;8,55;26,43;40;5;16,47;22
Fri;01;01;2016;13:45;396,84;20;72,99;29;24;6;14;15,5;44;51;8,64;29,13;40;5;16,58;21
Fri;01;01;2016;14:00;397,52;20;74,02;31;24;6;12,5;16,77;44;51;9,08;28,52;39;4;16,63;21
Fri;01;01;2016;14:15;393,12;21;72,99;30;24;6;12,5;15,97;44;52;8,08;25,13;39;5;16,45;21
Fri;01;01;2016;14:30;392,96;20;73;28;24;6;12,5;16,79;44;52;9,01;26,27;39;5;16,39;21
Fri;01;01;2016;14:45;399,15;20;73,01;30;25;6;13;14,98;45;52;9,04;29,68;39;5;16,45;21
Fri;01;01;2016;15:00;394,88;19;74,12;30;24;6;14;16,5;43;51;8,37;27,48;39;4;16,41;22
Fri;01;01;2016;15:15;393,22;20;72,98;30;24;6;13;16,61;43;50;9;26,18;40;5;16,44;21
Fri;01;01;2016;15:30;387,32;20;73,12;29;24;6;12,5;14,62;44;49;8,78;25,9;38;5;16,4;21
Fri;01;01;2016;15:45;389,15;21;73,06;30;24;6;12,5;14,3;44;49;8,6;25,28;39;5;16,41;21
Fri;01;01;2016;16:00;387,9;20;73,01;30;24;6;13;14,11;43;48;10,2;26,16;39;4;16,43;21
Fri;01;01;2016;16:15;392,37;20;72,97;29;24;5;13;14,07;44;48;9,16;30,76;39;5;16,41;22
Fri;01;01;2016;16:30;390,25;20;72,91;30;24;6;14;14,09;44;49;8,26;25,58;40;5;16,41;21
Fri;01;01;2016;16:45;385,19;20;72,93;29;25;6;12;14,06;43;48;8,14;25,67;39;5;16,39;21
Fri;01;01;2016;17:00;391,47;20;71,94;30;24;6;13;14,11;44;49;7,94;30,05;39;5;16,43;21
Fri;01;01;2016;17:15;389,5;20;72,94;30;24;6;13;14,09;44;48;8,19;25,8;40;5;16,48;22
Fri;01;01;2016;17:30;388,24;20;72,86;30;24;6;12;14,09;44;49;8,08;26,85;39;5;16,36;21
Fri;01;01;2016;17:45;387,39;20;72,79;29;24;6;13;14,26;44;48;7,85;27,15;39;5;16,34;21
Fri;01;01;2016;18:00;386,69;19;72,38;29;25;6;12,5;14,43;43;48;7,9;25,09;42;5;16,38;21
Fri;01;01;2016;18:15;388,78;20;71,96;30;24;6;12,5;14,38;44;48;8,08;25,46;42;5;16,41;21
Fri;01;01;2016;18:30;387,79;19;69,9;30;24;6;13;14,38;43;49;7,91;27,22;42;5;16,37;21
Fri;01;01;2016;18:45;383,72;19;71,71;29;24;5;12,5;14,42;44;48;7,84;25,75;40;5;16,49;21
Fri;01;01;2016;19:00;382,81;21;70,86;30;24;6;12,5;14,37;43;47;7,76;24,98;39;5;16,34;21
Fri;01;01;2016;19:15;369,41;20;71,7;30;25;6;13;6,84;44;48;7,77;25,32;38;5;7,77;21
Fri;01;01;2016;19:30;353,03;19;72,09;28;24;6;12,5;0,34;44;48;7,82;25,9;39;5;0,38;21
Fri;01;01;2016;19:45;357,88;20;70,21;31;24;5;12,5;0,29;43;48;8,23;30,35;39;4;0,31;22
Fri;01;01;2016;20:00;461,35;19;72,5;30;24;6;13;50,08;44;47;7,62;25,16;39;6;56,99;21
Fri;01;01;2016;20:15;384,94;20;72,52;29;24;6;13;14,36;44;48;7,81;24,99;39;5;16,26;21
Fri;01;01;2016;20:30;384,03;19;71,79;30;24;6;12,5;14,38;44;48;7,76;25,28;39;5;16,32;21
Fri;01;01;2016;20:45;381,02;20;70,27;29;24;6;12,5;14,39;44;47;8,38;25,17;38;5;16,32;21
Fri;01;01;2016;21:00;385,26;20;71,45;29;24;6;13;14,39;44;48;7,98;27,09;39;4;16,35;21
Fri;01;01;2016;21:15;384,15;19;72,03;30;25;6;13;14,41;43;47;8,13;25,26;38;6;16,32;21
Fri;01;01;2016;21:30;383,42;20;72,02;30;24;5;12,5;14,43;43;48;7,92;25,19;39;4;16,36;22
Fri;01;01;2016;21:45;381,81;20;72,98;29;24;6;12,5;13,84;44;46;7,95;25,24;38;5;16,31;21
Fri;01;01;2016;22:00;383,28;20;71,93;29;24;6;13;13,78;44;47;8,06;25,18;39;5;16,34;21
Fri;01;01;2016;22:15;385,56;19;71,93;31;24;6;13;13,89;43;48;7,89;26,5;39;5;16,37;21
Fri;01;01;2016;22:30;381,88;20;71,9;29;24;6;12,5;13,94;44;47;7,82;25,38;38;5;16,34;21
Fri;01;01;2016;22:45;379,57;20;71,96;29;24;6;12,5;13,86;43;46;7,74;25,17;38;5;16,34;21
Fri;01;01;2016;23:00;379,94;19;71,93;30;24;6;13;13,8;44;46;7,7;25,09;38;4;16,43;21
Fri;01;01;2016;23:15;380,54;19;71,86;29;25;5,5;12;13,77;43;48;7,87;25,24;38;5;16,3;21
Fri;01;01;2016;23:30;380,06;20;71,85;30;24;5,5;13;13,77;44;46;7,61;25,03;37;5;16,3;21
Fri;01;01;2016;23:45;381,74;19;71,9;30;24;6;12,5;13,77;44;47;7,78;26,42;38;4;16,36;21
Sat;02;01;2016;00:00;387,03;20;71,92;30;24;6;12,5;13,77;44;48;7,78;28,77;37;5;16,28;22
Sat;02;01;2016;00:15;377,99;18;71,89;30;24;5;13;13,77;44;45;7,64;25,35;38;5;16,34;21
Sat;02;01;2016;00:30;379,76;19;72,92;30;24;6;12,5;13,81;44;46;8,18;25,01;37;4;16,34;21
Sat;02;01;2016;00:45;376,77;18;71,89;29;24;6;12,5;13,27;43;46;7,61;25,18;38;5;16,32;21
Sat;02;01;2016;01:00;382,6;19;71,88;30;24;6;13;13,2;43;47;8,35;27,87;37;5;16,3;21
Sat;02;01;2016;01:15;377,48;18;71,72;29;24;6;13;13,74;43;47;8,19;24,76;38;4;16,06;21
Sat;02;01;2016;01:30;376,97;18;71,81;29;24;6;13;13,76;43;46;7,64;25,62;37;5;16,13;21
Sat;02;01;2016;01:45;377,72;18;71,71;30;24;6;12,5;13,76;44;46;7,83;24,63;38;4;16,3;21
Sat;02;01;2016;02:00;380,12;19;71,79;29;25;6;12,5;13,74;43;46;8,18;25,75;38;5;16,16;21
Sat;02;01;2016;02:15;379,57;18;71,7;30;24;6;13;13,77;43;45;8,22;26,86;38;5;16,01;21
Sat;02;01;2016;02:30;377,15;18;71,72;28;24;6;12,5;13,76;44;46;7,73;27,1;37;4;16,34;21
Sat;02;01;2016;02:45;378,98;18;71,83;30;24;6;13,5;13,78;43;47;7,98;24,58;37;5;16,31;21
Sat;02;01;2016;03:00;375,86;18;71,8;30;24;5;12;13,82;44;45;7,64;25,63;38;4;15,96;21
Sat;02;01;2016;03:15;377,03;18;71,82;29;24;7;13,5;13,8;43;45;7,88;24,7;37;5;16,33;21
Sat;02;01;2016;03:30;375,53;18;71,86;29;24;5;12,5;13,74;44;44;7,78;25,34;38;5;16,31;21
Sat;02;01;2016;03:45;375,87;18;71,89;30;24;7;13;13,82;43;44;8,25;24,88;37;4;16,03;21
Sat;02;01;2016;04:00;377,64;18;71,84;29;24;5;13;13,81;44;45;7,69;25,18;38;5;16,12;22
Sat;02;01;2016;04:15;374,83;18;71,87;30;24;7;13;13,78;43;44;7,81;25,06;37;4;16,32;20
Sat;02;01;2016;04:30;375,24;18;71,89;28;24;5;13,5;13,69;43;44;7,79;25,02;38;5;16,37;22
Sat;02;01;2016;04:45;379,64;18;71,82;30;24;6;15,5;13,46;43;44;7,8;27,79;37;4;16,28;21
Sat;02;01;2016;05:00;377,49;18;71,85;30;24;6;15;13,77;43;44;7,56;25,05;37;5;16,26;21
Sat;02;01;2016;05:15;380,25;18;71,8;29;24;6;15;13,68;44;46;8,07;25,33;38;4;16,37;21
Sat;02;01;2016;05:30;377,1;18;71,82;29;24;5;14;13,35;43;46;7,81;24,81;38;5;16,31;21
Sat;02;01;2016;05:45;376,83;17;71,8;29;24;7;13;13,71;43;45;7,96;27;37;4;16,35;21
Sat;02;01;2016;06:00;378,08;18;71,78;30;24;5;12;13,55;44;46;8,16;26,28;38;5;16,32;20
Sat;02;01;2016;06:15;379,35;18;71,75;30;25;7;13;13,34;44;46;7,76;25,15;37;4;16,36;21
Sat;02;01;2016;06:30;371,53;18;71,73;28;24;4;12;13,71;43;46;7,71;25,04;37;5;16,34;20
Sat;02;01;2016;06:45;379,16;18;71,7;30;24;7;13;13,43;44;46;7,71;25,03;38;4;16,28;21
Sat;02;01;2016;07:00;375,5;17;71,58;29;24;6;13;13,32;43;46;8,29;25,04;37;5;16,26;21
Sat;02;01;2016;07:15;370,69;18;69,68;30;24;5;12,5;13,05;42;46;8,1;25,04;37;4;16,32;20
Sat;02;01;2016;07:30;372,83;17;69,76;28;24;7;12,5;13,12;44;45;7,14;24,99;38;5;16,32;21
Sat;02;01;2016;07:45;367,79;18;68,79;29;24;5;12,5;13,23;43;44;7,91;25,08;37;4;16,28;20
Sat;02;01;2016;08:00;371,77;18;69,71;29;24;7;12,5;13,53;43;44;7,76;24,94;37;4;16,34;21
Sat;02;01;2016;08:15;372,69;17;69,69;30;24;5;13;13,11;44;44;7,99;26,58;37;4;16,33;21
Sat;02;01;2016;08:30;371,59;18;69,69;29;24;6;12;13,11;43;44;7,81;25,62;37;5;16,35;21
Sat;02;01;2016;08:45;370,36;18;69,65;29;24;5;13;13,79;43;45;7,56;25,05;37;4;16,31;20
Sat;02;01;2016;09:00;374,33;18;69,73;30;24;7;12,5;14,11;43;44;7,61;25,06;38;4;16,32;21
Sat;02;01;2016;09:15;369,61;18;69,65;29;24;6;12,5;13,17;43;44;7,78;25,14;37;4;16,37;20
Sat;02;01;2016;09:30;375,19;17;70,84;29;24;5;13;13,54;44;45;7,61;26,88;37;5;16,32;21
Sat;02;01;2016;09:45;372,57;18;69,83;29;24;7;12,5;13,36;43;44;7,69;25,83;37;4;16,36;21
Sat;02;01;2016;10:00;372,79;18;69,82;30;24;5;12,5;13,17;45;44;8,03;24,96;38;4;16,31;20
Sat;02;01;2016;10:15;374,09;18;69,86;29;24;7;12,5;13,47;43;46;7,55;25,4;37;4;16,32;21
Sat;02;01;2016;10:30;375,13;18;70,82;29;25;5;12,5;13,46;42;46;8,29;24,72;38;5;16,34;21
Sat;02;01;2016;10:45;377,45;18;69,82;31;24;6;13;13,46;44;47;8,01;25,81;37;4;16,35;20
Sat;02;01;2016;11:00;383,43;18;70,12;30;24;6;13;13,46;44;46;7,7;30,86;38;5;16,28;21
Sat;02;01;2016;11:15;376,14;18;71,5;29;24;5;12,5;13,48;44;47;7,46;25,82;37;4;16,38;21
Sat;02;01;2016;11:30;380,34;19;71,66;29;24;7;12,5;13,46;43;47;7,97;24,41;38;6;16,34;21
Sat;02;01;2016;11:45;380,23;18;72,65;29;24;5;13;14,05;44;47;8,15;25,97;38;5;16,41;20
Sat;02;01;2016;12:00;381,11;19;71,72;29;25;7;13;14,09;44;47;7,74;25,24;37;4;16,32;21
Sat;02;01;2016;12:15;385,22;19;71,68;30;24;5;12,5;14,1;43;48;7,88;27,65;40;5;16,41;21
Sat;02;01;2016;12:30;382,6;19;71,66;29;24;7;12,5;14,1;44;47;7,35;24,59;40;5;16,39;21
Sat;02;01;2016;12:45;380,92;19;71,67;30;24;5;13;14,13;43;48;8,1;25,66;39;4;16,37;20
Sat;02;01;2016;13:00;384,4;19;71,69;30;24;6;13;14,13;45;47;7,21;25,01;40;5;16,37;21
Sat;02;01;2016;13:15;387,88;19;72,68;29;25;6;13;14,15;43;48;7,88;29,79;39;4;16,38;21
Sat;02;01;2016;13:30;383,77;19;71,69;29;24;6;12,5;14,13;44;49;8,05;25,02;39;5;16,38;21
Sat;02;01;2016;13:45;383,51;19;71,6;30;24;6;13;14,15;43;47;7,94;25,45;40;5;16,38;21
Sat;02;01;2016;14:00;380,9;19;71,6;29;24;5;12,5;14,11;44;48;7,5;25,79;40;4;16,39;20
Sat;02;01;2016;14:15;390,09;19;71,65;30;25;7;13;14,16;44;47;7,78;30,08;39;5;16,42;21
Sat;02;01;2016;14:30;387,38;20;72,62;29;24;6;13;14,14;43,67;49;7,81;26,07;38,67;5;16,41;22
Sat;02;01;2016;14:45;384,21;19;71,66;30;25;5;13;14,13;43,67;48;8,23;25,47;38,67;4;16,4;22
Sat;02;01;2016;15:00;385,2;19;71,7;29;24;6;13;14,17;43,67;49;8,04;26,55;38,67;5;16,41;21
Sat;02;01;2016;15:15;385,43;19;71,69;29;25;7;12,5;14,15;43;48;7,59;28,11;38;4;16,39;22
Sat;02;01;2016;15:30;383,35;18;71,74;30;24;5;13,5;14,16;44;47;7,75;24,75;39;6;16,46;22
Sat;02;01;2016;15:45;387,17;20;72,56;30;25;6;12,5;14,12;44;50;7,88;25,73;38;4;16,39;21
Sat;02;01;2016;16:00;385,26;19;71,63;29;24;6;13;14,12;44;47;8,25;28,28;38;4,6;16,39;22
Sat;02;01;2016;16:15;390,44;19;71,55;30;25;6;12,5;15,41;45;50;8,03;27,87;38;4,6;16,48;21
Sat;02;01;2016;16:30;384,84;19;71,61;30;24;6;13;15,87;44;47;7,88;24,53;39;4,6;16,36;22
Sat;02;01;2016;16:45;386,43;20;71,57;28;25;6;13;15,29;43;50;7,78;25,83;38;4,6;16,37;22
Sat;02;01;2016;17:00;383,1;19;71,54;30;24;5;13;15,16;43;46;7,57;28,79;38;4,6;16,44;21
Sat;02;01;2016;17:15;392,84;19;71,55;30;24;6;15;15,22;44;50;7,79;26,86;39;6;16,43;22
Sat;02;01;2016;17:30;383,68;19;71,65;29;24;7;15,5;14,17;44;47;7,63;25,3;38;4;16,43;21
Sat;02;01;2016;17:45;387,2;20;71,67;30;24;5;15;14,37;43;48;7,56;26,2;39;5;16,41;22
Sat;02;01;2016;18:00;384,37;19;71,63;29;24;6;14,5;14,39;44;48;7,77;25,7;38;5;16,38;21
Sat;02;01;2016;18:15;384,39;19;71,68;29;24;7;13;14,39;43;48;7,79;26,11;38;5;16,42;22
Sat;02;01;2016;18:30;389,47;19;71,71;29;25;5;13;14,4;44;49;8,06;28,95;39;5;16,36;22
Sat;02;01;2016;18:45;383,38;19;71,68;30;24;6;12,5;14,4;43;47;7,97;27,37;38;4;16,46;22
Sat;02;01;2016;19:00;386,5;19;71,65;31;24;6;12,5;14,39;44;47;7,68;25,99;39;6;16,3;22
Sat;02;01;2016;19:15;383,09;20;72,67;28;24;6;13;14,38;44;47;7,56;26,07;38;4;16,42;22
Sat;02;01;2016;19:30;383,79;19;71,64;30;24;6;12,5;14,37;44;47;8,24;25,7;38;5;16,35;22
Sat;02;01;2016;19:45;382,26;17;71,65;30;24;6;12,5;14,39;44;47;8,17;27,16;38;5;16,39;21
Sat;02;01;2016;20:00;383,1;19;71,71;28;24;5;12,5;14,45;43;47;8,77;27,31;39;5;16,37;22
Sat;02;01;2016;20:15;387,63;21,87;71,65;28,79;25;7;12,5;14,4;43;48;8,49;26,56;37;5;16,37;22
Sat;02;01;2016;20:30;377,89;20,88;71,66;28,79;24;5;13;14,43;44;46;8,5;25,25;34;4;16,39;22
Sat;02;01;2016;20:45;384,93;20,88;71,59;29,79;24;6;12,5;14,53;44;46;7,62;26,67;38;5;16,36;22
Sat;02;01;2016;21:00;385,09;20,88;71,66;29,79;24;6;12,5;14,46;43;47;7,99;25,46;39;5;16,36;22
Sat;02;01;2016;21:15;391,6;20,88;72,68;28,79;24;6;13;14,43;43;47;8,02;31,43;39;5;16,36;22
Sat;02;01;2016;21:30;385,71;20,88;71,65;30,78;24;6;13;14,4;44;46;8,03;25,61;39;4;16,37;22
Sat;02;01;2016;21:45;384,74;20,88;71,56;29,79;24;6;12,5;14,38;43;47;7,98;26,26;39;5;16,39;21
Sat;02;01;2016;22:00;382,93;20,88;70,97;28,79;24;5;12,5;14,36;45;46;7,4;25,7;39;5;16,33;22
Sat;02;01;2016;22:15;382,13;20,88;69,93;28,79;24;7;12;14,38;44;46;7,65;26,15;38;5;16,34;22
Sat;02;01;2016;22:30;386,3;20,88;72,11;29,79;24;5;13;14,37;44;46;8,87;25,95;39;5;16,34;22
Sat;02;01;2016;22:45;383,74;21,87;70,25;29,79;24;6;13;14,37;44;46;7,16;25,97;39;4;16,33;22
Sat;02;01;2016;23:00;389,79;20,88;71,65;29,79;25;7;13;14,43;44;47;8,53;26,1;39;5;16,42;22
Sat;02;01;2016;23:15;384,27;20,88;71,25;28,79;24;5,5;12,5;14,38;43;46;8,01;27,6;39;5;16,36;22
Sat;02;01;2016;23:30;381,46;20,88;70,28;28,79;24;5,5;12,5;14,37;43;46;8,07;26,77;39;4;16,3;22
Sat;02;01;2016;23:45;386,42;21,87;72,91;29,79;24;7;13;14,37;44;45;8,17;25,94;38;5;16,37;21
Sun;03;01;2016;00:00;381,36;19,88;69,9;29,79;24;5;13;14,38;43;46;8,17;25,91;39;5;16,32;22
Sun;03;01;2016;00:15;385,45;20,88;71,61;29,79;24;7;13;14,36;43;46;7,5;26,04;39;5;16,28;22
Sun;03;01;2016;00:30;381,21;19,88;70,81;29,79;24;5;13;14,34;43;46;8,09;25,94;39;4;16,36;22
Sun;03;01;2016;00:45;384,4;20,88;70,35;29,79;24;6;13;13,94;44;46;8,12;26,03;39;5;16,32;22
Sun;03;01;2016;01:00;387,13;19,88;72,92;29,79;24;6;15;13,8;44;46;7,57;25,84;39;5;16,33;22
Sun;03;01;2016;01:15;384,39;19,88;69,95;30,78;25;5;14,5;13,76;44;46;8,04;26,2;39;4;16,28;22
Sun;03;01;2016;01:30;386,27;20,88;71,58;28,79;24;7;15;13,8;44;46;8,07;25,78;39;5;16,36;21
Sun;03;01;2016;01:45;390,05;20,88;70,78;29,79;24;6;14,5;13,78;43;46;8;30;40;5;16,32;22
Sun;03;01;2016;02:00;381,9;19,88;70,68;28,79;24;5;14;13,79;45;46;7,61;25,78;39;4;16,36;22
Sun;03;01;2016;02:15;386,62;20,88;71,6;29,79;24;7;13;13,74;44;46;8,13;26,21;39;5;16,29;22
Sun;03;01;2016;02:30;379,31;20,88;69,85;29,79;24;5;12;13,74;43;46;8,1;25,59;38;5;16,36;22
Sun;03;01;2016;02:45;382,27;19,88;72,22;28,79;24;7;13;13,75;43;46;7,91;26,38;39;4;16,33;21
Sun;03;01;2016;03:00;384,94;20,88;70,18;30,78;24;5;13;13,77;44;48;7,65;25,39;39;5;16,3;22
Sun;03;01;2016;03:15;380,84;19,88;71,44;28,79;24;6;12;13,76;43;45;8,23;26,4;39;5;16,33;22
Sun;03;01;2016;03:30;384,42;20,88;71,06;29,79;25;7;13;13,77;43;46;8,09;25,52;39;4;16,31;22
Sun;03;01;2016;03:45;380,22;20,88;70,29;27,8;24;5;12;13,78;44;46;7,93;26,3;39;5;16,24;22
Sun;03;01;2016;04:00;383,79;19,88;72,82;30,78;24;7;13;13,76;43;45;7,66;25,72;39;4;16,16;22
Sun;03;01;2016;04:15;382;20,88;68,8;29,79;24;5;13;13,77;44;46;8,13;26,21;39;5;16,43;22
Sun;03;01;2016;04:30;381,58;19,88;71,49;28,79;24;6;12,5;13,76;43;47;8;25,82;39;5;16,34;21
Sun;03;01;2016;04:45;384,1;20,88;71,91;29,79;24;6;12,5;13,75;44;46;7,87;25,96;39;4;16,44;22
Sun;03;01;2016;05:00;381,37;19,88;70,19;28,79;24;6;13;13,75;43;47;7,4;25,98;39;5;16,38;22
Sun;03;01;2016;05:15;384,44;20,88;72,34;28,79;24;7;12,5;13,75;44;46;8;25,84;39;4;16,34;22
Sun;03;01;2016;05:30;379,14;19,88;70,23;28,79;24;5;12,5;13,74;43;46;7,66;26,04;39;5;16,3;22
Sun;03;01;2016;05:45;385,16;19,88;71,74;29,79;24;6;12,5;13,74;44;48;7,47;25,72;39;5;16,32;22
