Vodafone - Realtime Data;;;;;;;;;;;;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;;;;;;;;;;;;
At: January 30, 2018 17:02 (Europe/Lisbon);;;;;;;;;;;;;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;;;;;;;;;;;;
Rate: 15 minutes;;;;;;;;;;;;;;;;;;;;
Exported by WiseMetering;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ OMCs (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ Q.INV 1 FAR (KWh);EA+ Q.INV 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ Q.INV1 MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ QGD 1 PTM (KWh);EA+ Q.INV 2 SNT (KWh);EA+ GERAL FMC (KWh)
Sun;01;01;2017;04:15;288,83;12;67,52;26;22;8;14;14,49;;43;8,49;29,33;;7;15,01;22
Sun;01;01;2017;04:30;284,02;11;67,46;26;21;6;15;14,82;;42;8,72;29,04;;6;14,98;22
Sun;01;01;2017;04:45;288,85;12;67,4;26;22;8;13,5;15,45;;43;8,32;29,21;;7;14,96;22
Sun;01;01;2017;05:00;281,26;11;67,36;26;21;5;15;14,32;;42;7,6;29,02;;6;14,96;22
Sun;01;01;2017;05:15;284,48;11;67,03;27;22;8;14;14,82;;41;8,21;28,41;;6;15,01;22
Sun;01;01;2017;05:30;285,56;12;67,76;26;21;6;14;15,45;;41;9,11;29,26;;6;14,97;23
Sun;01;01;2017;05:45;287,06;12;66,71;26;22;8;15;14,82;;42;8,15;28,59;;7;14,79;22
Sun;01;01;2017;06:00;281,5;11;66,76;26;21;6;13;15,18;;42;8,72;28,87;;6;14,98;22
Sun;01;01;2017;06:15;285,81;11;66,73;26;22;8;14,75;15,35;;42;7,78;29,19;;6;15,01;22
Sun;01;01;2017;06:30;282,23;12;66,77;26;22;5;14,75;14,88;;42;7,51;28,37;;7;14,96;21
Sun;01;01;2017;06:45;283,28;11;64,65;26;21;8;14,5;15,31;;43;7,53;29,31;;6;14,99;22
Sun;01;01;2017;07:00;284,09;12;65,64;27;22;6;14,5;15,18;;43;7,52;28,35;;6;14,89;22
Sun;01;01;2017;07:15;282,51;11;65,62;26;21;7;13,5;14,85;;43;7,39;29,18;;7;14,97;22
Sun;01;01;2017;07:30;282,47;12;64,45;26;22;7;15,5;15,44;;42;7,39;28,7;;6;14,98;21
Sun;01;01;2017;07:45;280,63;11;65,71;26;21;7;13,5;14,7;;42;7,39;28,85;;6,5;14,99;22
Sun;01;01;2017;08:00;282,64;11;66,14;26;22;7;14;14,72;;42;7,4;28,93;;6,5;14,95;22
Sun;01;01;2017;08:15;279,74;12;64,22;26;22;6;15;14,71;;42;7,41;28,59;;6;14,81;21
Sun;01;01;2017;08:30;283,15;11;66,28;27;21;8;14;14,11;;42;7,76;29;;6;15,01;22
Sun;01;01;2017;08:45;281,14;12;64,48;25;22;6;14,5;14,91;;42;8,61;28,64;;6;14,99;22
Sun;01;01;2017;09:00;282,49;12;64,92;27;21;7;14,5;14,87;;41;8,07;29,16;;7;14,97;21
Sun;01;01;2017;09:15;280,59;11;66,2;26;22;6;14;13,93;;41;8,96;28,54;;6;14,96;22
Sun;01;01;2017;09:30;282,07;11;64,07;26;22;8;14,5;15,08;;41;8,29;29,23;;6;14,9;22
Sun;01;01;2017;09:45;281,89;12;65,96;26;21;6;14;14,79;;42;8,75;28,47;;6;14,93;22
Sun;01;01;2017;10:00;284,35;11;66,09;27;22;7;14,5;14,64;;42;7,86;29,33;;7;14,94;21
Sun;01;01;2017;10:15;283,22;12;66,1;25;22;7;14,5;15,22;;42;7,45;28,96;;6;14,99;22
Sun;01;01;2017;10:30;285,43;12;66,1;28;22;6;14;14,67;;42;8,6;29,11;;6;14,95;22
Sun;01;01;2017;10:45;283,95;11;66,24;26;22;8;14,5;14,89;;41;8,72;28,58;;6;15,02;22
Sun;01;01;2017;11:00;283,71;12;66,25;26;22;6;14;15,12;;41;8,27;29,11;;7;14,96;22
Sun;01;01;2017;11:15;286,19;12;66,38;27;21;8;15;14,59;;42;8,57;28,62;;6;15,03;22
Sun;01;01;2017;11:30;283,12;11;66,42;27;23;6;14;14,99;;41;7,48;29,21;;6;15,01;22
Sun;01;01;2017;11:45;286,68;12;67,63;25;22;7;14,33;15,59;;42;7,77;30,28;;6;15,07;22
Sun;01;01;2017;12:00;289,65;12;68,04;28;22;7;14,33;14,62;;42;8,99;29,36;;6,4;14,9;22
Sun;01;01;2017;12:15;292,57;12;68,52;27;23;7;14,33;15,29;;42;8,31;31,53;;6,4;15,18;22
Sun;01;01;2017;12:30;282,02;9;68,63;23;22;7;14,5;14,86;;42;8,62;28,88;;6,4;15,13;22
Sun;01;01;2017;12:45;280,3;10;66,75;21;23;7;14;14,94;;41;7,44;31,61;;6,4;15,15;22
Sun;01;01;2017;13:00;283,64;12;68,96;22;22;7;14,5;15,32;;41;7,45;29,85;;6,4;15,16;22
Sun;01;01;2017;13:15;287,06;12;69,11;21;23;7;14;14,77;;42;7,42;32,57;;6;15,2;23
Sun;01;01;2017;13:30;283,05;11;69,06;21;22;8;14;15,05;;42;7,43;29,35;;7;15,16;22
Sun;01;01;2017;13:45;283,78;10;69,4;22;22;7;15;15,23;;42;7,42;30,58;;6;15,15;22
Sun;01;01;2017;14:00;282,31;9;69,36;22;23;7;14;14,82;;41;7,44;30,52;;7;15,17;22
Sun;01;01;2017;14:15;282,91;9;69,49;21;23;8;14,5;15,29;;42;7,42;30,06;;6;15,16;22
Sun;01;01;2017;14:30;284,07;9;69,21;22;23;6;14;15,07;;42;7,7;32,92;;6;15,18;22
Sun;01;01;2017;14:45;288,11;10;69,43;22;22;7;14,5;14,86;;42;8,73;32,45;;7;15,14;23
Sun;01;01;2017;15:00;284,91;9;70,15;21;23;8;14;15,46;;42;8,17;30,99;;6;15,15;22
Sun;01;01;2017;15:15;287,38;9;71,46;22;23;6;15;15;;42;9,02;30,78;;7;15,13;22
Sun;01;01;2017;15:30;282,05;9;69,24;21;22;7;14;14,98;;42;8,31;30,35;;7;15,18;22
Sun;01;01;2017;15:45;288,8;10;71,49;22;22;8;14,5;15,46;;41;8,82;30,38;;7;15,15;23
Sun;01;01;2017;16:00;281,68;9;70,39;21;23;6;14;14,85;;42;7,99;30,29;;6;15,17;22
Sun;01;01;2017;16:15;284,57;9;68,85;22;23;8;14,5;15,07;;42;7,51;30,48;;7;15,15;22
Sun;01;01;2017;16:30;285,13;9;72,02;21;23;6;14;15,36;;42;8,74;29,84;;7;15,17;22
Sun;01;01;2017;16:45;284,04;9;69,68;22;22;7;14;14,87;;42;8,71;30,62;;7;15,16;22
Sun;01;01;2017;17:00;285,71;10;69,68;21;22;8;15;15,2;;42;8,37;30,31;;7;15,15;22
Sun;01;01;2017;17:15;286,51;9;71,92;22;23;6;14;15,25;;42;7,92;30,25;;7;15,18;23
Sun;01;01;2017;17:30;282,13;9;69,34;21;22;7;14,5;14,49;;42;7,46;31,18;;7;15,17;22
Sun;01;01;2017;17:45;281,51;9;69,13;21;23;7;14,5;15,36;;42;7,43;29,9;;6;15,19;22
Sun;01;01;2017;18:00;284,52;9;70,21;22;22;7;14;15,43;;42;7,49;31,23;;7;15,15;22
Sun;01;01;2017;18:15;283,87;9;70,09;21;23;7;14,5;14,59;;42;7,54;29,96;;7;15,19;23
Sun;01;01;2017;18:30;284,69;9;70,32;22;22;7;14,5;15,5;;42;7,52;30,65;;7;15,2;22
Sun;01;01;2017;18:45;286,14;10;70,01;22;22;7;14,5;15,26;;42;7,53;30,68;;7;15,16;23
Sun;01;01;2017;19:00;281,93;9;69;22;23;6;14;14,79;;42;7,61;30,35;;7;15,17;22
Sun;01;01;2017;19:15;286,93;9;69,05;21;23;8;14,5;15,37;;42;8,92;30,88;;7;15,21;23
Sun;01;01;2017;19:30;283,32;9;68,96;22;22;7;14,5;14,98;;42;8,42;30,29;;7;15,16;22
Sun;01;01;2017;19:45;282,96;9;69,52;22;22;6;14,5;15,02;;42;8,59;31,21;;6;15,12;22
Sun;01;01;2017;20:00;285,69;9;69,8;21;23;8;14;14,98;;42;9,12;30,64;;7;15,16;22
Sun;01;01;2017;20:15;282,99;9;68,77;22;23;5;14,5;14,95;;42;8,2;30,39;;7;15,16;23
Sun;01;01;2017;20:30;285,43;9;68,3;22;22;8;14,5;15,33;;42;9,11;31,02;;7;15,17;22
Sun;01;01;2017;20:45;283,04;9;69,62;21;22;7;14;15,33;;43;7,75;30,17;;7;15,17;22
Sun;01;01;2017;21:00;284,12;9;69,45;22;23;7;14,5;14,57;;43;7,7;29,72;;7;15,19;22
Sun;01;01;2017;21:15;284,7;9;68,76;22;23;7;14,5;15,28;;43;9,14;30,05;;6;14,97;22
Sun;01;01;2017;21:30;283,14;10;68,32;21;21;6;14;15,21;;43;8,6;30,91;;7;15,11;23
Sun;01;01;2017;21:45;288,05;9;69,74;22;23;8;15;15,06;;43;8,71;30,35;;7;15,19;22
Sun;01;01;2017;22:00;283,35;9;68,35;21;23;6;14;15,75;;43;8,49;30,58;;7;15,19;22
Sun;01;01;2017;22:15;281,53;9;68,37;21;22;7;14,5;15,05;;43;7,65;30,81;;6;15,15;22
Sun;01;01;2017;22:30;284,22;9;69;22;23;7;14;14,77;;43;8,23;30,03;;7;15,19;22
Sun;01;01;2017;22:45;286,15;9;68,47;21;22;7;14,5;15,26;;43;9,68;31,34;;7;14,91;23
Sun;01;01;2017;23:00;284,92;9;68,31;22;23;7;14;14,92;;43;10,51;29,21;;6,8;15,18;22
Sun;01;01;2017;23:15;283,51;9;66,89;21;22;7;15;15,34;;43;9,8;30,49;;6,8;15,19;22
Sun;01;01;2017;23:30;283,59;9;69,02;22;22;7;14;15,25;;42;8,3;30,04;;6,8;15,19;23
Sun;01;01;2017;23:45;282,88;9;67,34;22;23;6;15;14,99;;42;9,1;30,5;;6,8;15,15;22
Mon;02;01;2017;00:00;283,94;9;68,42;21;23;8;13,5;15,6;;42;9,11;30,64;;6,8;14,86;22
Mon;02;01;2017;00:15;283,56;9;67,86;22;22;7;14,5;15,12;;42;8,63;30,29;;7;15,16;23
Mon;02;01;2017;00:30;278,74;9;67,32;21;23;6;15;14,48;;41;8,4;31,37;;6;15,18;21
Mon;02;01;2017;00:45;284,3;9;69,23;22;22;7;14;15,44;;42;9,12;29,38;;7;15,14;23
Mon;02;01;2017;01:00;280,34;9;66,91;21;23;7;14;15,18;;42;8,24;30,14;;7;14,86;22
Mon;02;01;2017;01:15;283,86;9;68,84;22;22;8;15;14,63;;42;9,32;29,94;;6;15,13;22
Mon;02;01;2017;01:30;282,08;10;66,81;21;23;6;14,5;14,99;;41;9,05;30,58;;7;15,16;23
Mon;02;01;2017;01:45;281,78;9;67,47;22;23;6;13,5;15,04;;43;8,3;30,34;;7;15,14;22
Mon;02;01;2017;02:00;281,64;9;68,06;22;22;7;15;15,08;;42;8,48;30,18;;6;14,85;22
Mon;02;01;2017;02:15;281;9;66,6;21;22;6;14;14,87;;43;8,96;30,42;;7;15,15;23
Mon;02;01;2017;02:30;287,68;10;68,94;22;23;8;15;15,09;;43;8,98;29,53;;7;15,15;22
Mon;02;01;2017;02:45;280,61;9;66,62;21;23;6;14;15,44;;42;8,25;30,13;;7;15,17;23
Mon;02;01;2017;03:00;281,88;9;67,98;21;22;7;14,5;15,42;;43;8,82;30,02;;6;15,15;22
Mon;02;01;2017;03:15;283,48;9;67,67;22;22;7;13,5;15,08;;42;8,89;31,18;;7;15,16;23
Mon;02;01;2017;03:30;280,71;9;67,22;21;23;6;15;15,46;;43;8,12;29,76;;6;15,14;22
Mon;02;01;2017;03:45;285,98;9;68,91;22;22;8;14;15,32;;42;8,5;31,08;;7;15,17;23
Mon;02;01;2017;04:00;281,29;9;66,57;21;23;6;15;15,05;;43;8,92;29,62;;7;15,13;22
Mon;02;01;2017;04:15;282,69;10;68,37;22;22;7;14;15,51;;42;7,89;29,77;;6;15,15;23
Mon;02;01;2017;04:30;282,87;9;68,9;21;22;7;14;15,25;;43;8,48;30,1;;7;15,15;22
Mon;02;01;2017;04:45;282,01;9;67,38;21;23;6;15;15,29;;42;8,99;30,2;;6;15,16;23
Mon;02;01;2017;05:00;284,37;9;68,43;21;23;7;14;16,21;;42;8,06;31,54;;7;15,14;22
Mon;02;01;2017;05:15;285,27;10;68,73;22;23;7;14,5;15,22;;41;8,63;30,06;;7;15,13;23
Mon;02;01;2017;05:30;280,3;9;68,71;21;21;6;14,5;15,1;;42;8,66;31,22;;6;15,12;22
Mon;02;01;2017;05:45;285,07;9;68,93;21;23;8;14;15,61;;42;8,41;29,96;;7;15,17;23
Mon;02;01;2017;06:00;284,28;9;69,28;22;23;6;15;15,03;;43;8,23;30,64;;6;15,1;22
Mon;02;01;2017;06:15;285,21;10;69;21;22;8;14;15,18;;42;8,77;30,12;;7;15,15;23
Mon;02;01;2017;06:30;285,26;9;68,87;22;22;6;14;15,48;;43;8,2;32,58;;7;15,13;22
Mon;02;01;2017;06:45;284,79;9;69,94;21;23;7;15;14,41;;42;8,84;30,4;;6;15,2;23
Mon;02;01;2017;07:00;286,28;9;69,89;22;23;7;14;15,29;;43;8,22;30,79;;7;15,1;22
Mon;02;01;2017;07:15;285,45;10;69,04;22;22;7;14,5;15,96;;41;8,6;31,16;;6;15,18;23
Mon;02;01;2017;07:30;286,51;9;70,02;21;22;7;14;16,43;;42;8,25;31,67;;8;15,14;22
Mon;02;01;2017;07:45;286,84;9;70,2;22;23;7;14,5;15,89;;41;8,41;31,7;;6;15,14;23
Mon;02;01;2017;08:00;288,33;9;69,91;22;23;6;15;15,76;;42;8,37;33,13;;7;15,16;22
Mon;02;01;2017;08:15;288,66;9;69,65;21;22;8;16;15,08;;42;8,69;32,1;;7;15,14;23
Mon;02;01;2017;08:30;288,73;9;70,52;22;22;7;15;16,26;;41;8,16;31,64;;7;15,16;24
Mon;02;01;2017;08:45;293,22;9;70,74;22;22;7;15;16,42;;42;8,7;33,21;;6;15,16;26
Mon;02;01;2017;09:00;293,18;9;71,39;22;23;8;15,5;15,73;;42;8,65;30,73;;7;15,19;25
Mon;02;01;2017;09:15;295,6;10;71,22;23;24;7;15,5;16,23;;41;8,19;31,29;;7;15,18;26
Mon;02;01;2017;09:30;295,27;9;71,43;22;23;8;15,5;15,48;;42;8,73;31,96;;7;15,18;26
Mon;02;01;2017;09:45;295,03;9;72,16;22;25;6;14,5;16,09;;42;9,13;30,96;;7;15,19;26
Mon;02;01;2017;10:00;298,06;10;71,56;22;23;8;15,5;16,66;;41;8,81;33,36;;7;15,18;26
Mon;02;01;2017;10:15;295,19;9;71,96;23;23;7;14,5;16,01;;42;8,55;31;;8;15,17;26
Mon;02;01;2017;10:30;296,66;9;72,08;22;25;7;15;16,32;;42;8,97;31,11;;7;15,18;26
Mon;02;01;2017;10:45;295,52;10;72,18;23;23;8;15;16,08;;42;8,68;30,4;;7;15,19;25
Mon;02;01;2017;11:00;298,66;9;71,68;22;24;8;15;15,67;;45;8,92;31,2;;8;15,2;25
Mon;02;01;2017;11:15;299,24;10;73,2;22;24;7;14,5;16,84;;45;8,85;30,39;;7;15,46;25
Mon;02;01;2017;11:30;301,7;9;71,86;23;24;8;15,5;17,6;;45;8,64;31,3;;7;16,81;24
Mon;02;01;2017;11:45;300,51;9;74,7;22;23;7;14,5;17,44;;45;9,34;30,77;;8;16,78;22,97
Mon;02;01;2017;12:00;301,99;10;73,35;23;24;8;15,5;18,29;;43;9;31,05;;7;16,85;22,97
Mon;02;01;2017;12:15;296,18;9;74,11;22;24;7;14;17,25;;42;9,22;31,05;;7;16,57;22,97
Mon;02;01;2017;12:30;298,9;9;74,47;23;24;7;16;17,65;;42;8,81;30,81;;8;15,19;22,97
Mon;02;01;2017;12:45;292,92;9;72,34;22;23;8;14;17,6;;41;9,51;31,33;;7;15,18;22,97
Mon;02;01;2017;13:00;297,89;10;75,05;23;23;7;15;16,99;;42;9,23;30,47;;8;15,18;22,97
Mon;02;01;2017;13:15;298,33;9;73,13;22;25;8;14;17,37;;42;9,05;33,62;;7;15,19;22,97
Mon;02;01;2017;13:30;301,92;10;73,86;23;23;8;16;17,11;;42;9,28;34,48;;7;15,22;22,97
Mon;02;01;2017;13:45;328,93;9;75,58;23;24;7;14;17,14;15;42;8,69;31,37;16;8;15,18;22,97
Mon;02;01;2017;14:00;375,51;10;75,1;23;24;8;15;17,38;36;42;9,25;30,68;39;7;16,14;22,97
Mon;02;01;2017;14:15;375,63;10;74,61;23;24;8;16;17,31;37;42;8,78;31,3;37;7;16,66;22,97
Mon;02;01;2017;14:30;373,75;9;74,1;23;24;6;17;17,27;35;42;9,05;31,57;39;7;16,79;22,97
Mon;02;01;2017;14:45;380,21;10;75,59;22;24;8;17;17,56;36;42;9,06;32,18;39;8;16,84;22,97
Mon;02;01;2017;15:00;374,76;9;76,09;23;24;8;15;17,65;36;42;9,06;31,04;38;7;15,94;22,97
Mon;02;01;2017;15:15;373,58;10;75,99;23;24;7;15;17,23;35;42;9,14;30,86;38;8;15,4;22,97
Mon;02;01;2017;15:30;372,39;10;72,68;22;24;8;15,5;17,82;36;42;8,67;31,56;39;7;15,2;22,97
Mon;02;01;2017;15:45;370,18;9;75,94;23;23;6;15;17,22;35;41;8,95;30,88;39;8;15,21;22,97
Mon;02;01;2017;16:00;380,37;10;76,02;23;25;8;14,5;16,83;36;43;8,86;33,95;40;7;15,24;22,97
Mon;02;01;2017;16:15;369,2;9;73,9;22;23;8;15;17,44;36;41;8,91;30,77;39;7;15,22;22,97
Mon;02;01;2017;16:30;370,07;10;73,69;23;24;7;13,5;16,45;36;42;8,95;31,32;38;8;15,19;22,97
Mon;02;01;2017;16:45;370,91;10;75,56;22;23;8;14,5;16,89;36;42;8,89;30,9;38;7;15,21;22,97
Mon;02;01;2017;17:00;368,55;9;72,64;23;24;7;14;16,74;35;42;8,87;31,1;39;8;15,23;22,97
Mon;02;01;2017;17:15;372,96;10;75,51;23;24;7;15;16,47;36;42;8,76;31,07;39;7;15,19;22,97
Mon;02;01;2017;17:30;370,9;9;72,39;23;23;8;14;16,66;37;42;9,12;33,57;37;8;15,2;22,97
Mon;02;01;2017;17:45;371,91;10;74,35;23;25;7;14;16,89;36;42;8,61;30,91;39;7;15,18;22,97
Mon;02;01;2017;18:00;369;9;74,12;23;23;8;14;16,67;36;42;9,14;30,91;39;6;15,2;22,97
Mon;02;01;2017;18:15;364,37;9;72,1;22;24;7;14;16,63;36;42;8,49;30,02;38;7;15,16;22,97
Mon;02;01;2017;18:30;366,8;10;72,62;23;23;7;14,5;17,05;36;42;8,63;30,82;37;7;15,21;22,97
Mon;02;01;2017;18:45;373,72;9;73,93;23;24;8;13,5;20,7;36;43;8,53;29,94;40;6;15,16;22,97
Mon;02;01;2017;19:00;368,09;9;71,21;23;23;7;14;16,75;36;42;8,46;35,49;38;6;15,21;22,97
Mon;02;01;2017;19:15;365,07;10;71,89;22;24;8;14;16,48;35;42;8,53;30,01;38;7;15,18;22,97
Mon;02;01;2017;19:30;371,14;9;73,97;23;24;7;14;20,28;36;42;8,29;30,43;39;6;15,19;22,97
Mon;02;01;2017;19:45;365,01;9;71,39;22;23;8;14,5;16,76;35;42;8,8;30,46;39;7;15,13;22,97
Mon;02;01;2017;20:00;363,35;10;71,3;23;23;7;13,5;17,16;36;42;8,28;29,98;38;6;15,17;22,97
Mon;02;01;2017;20:15;365,39;9;73,32;23;23;7;14;16,43;36;42;8,88;30,6;37;7;15,19;22,97
Mon;02;01;2017;20:30;367,47;9;71,16;22;23;8;14;19,13;35;42;8,04;33;39;6;15,17;22,97
Mon;02;01;2017;20:45;367,8;10;72,52;23;24;7;13,5;16,94;36;42;8,38;32,32;38;6;15,17;22,97
Mon;02;01;2017;21:00;362,58;9;72,14;23;22;8;13,5;16,17;35;43;8,87;29,73;38;6;15,2;22,97
Mon;02;01;2017;21:15;363,79;10;72,56;22;22;7;14;17,43;36;42;8,12;30,52;38;6;15,2;22,97
Mon;02;01;2017;21:30;367,19;9;74,44;23;23;8;14;16,1;37;42;8,55;29,95;38;6;15,17;22,97
Mon;02;01;2017;21:45;365,73;9;72,05;22;23;8;14;16,61;36;42;8,91;30,02;39;7;15,18;22,97
Mon;02;01;2017;22:00;366,83;10;72,79;23;23;7;13;17,66;36;42;8,07;32,16;38;6;15,18;22,97
Mon;02;01;2017;22:15;365,37;9;74,03;22;22;8;14;15,9;36;43;8,55;29,79;39;6;15,13;22,97
Mon;02;01;2017;22:30;367,68;9;73,72;23;23;6;14;18,75;36;43;8,94;30,13;38;6;15,17;22,97
Mon;02;01;2017;22:45;365,62;10;71,03;22;23;9;14;16,55;36;43;8,1;29,79;38;7;15,17;22,97
Mon;02;01;2017;23:00;365,77;9;72,16;23;23;7;13,5;15,96;36;43;9,03;30,99;39;6;15,17;22,97
Mon;02;01;2017;23:15;366,66;10;73,55;22;23;7;13,5;17,04;35;43;8,3;32,11;38;6;15,19;22,97
Mon;02;01;2017;23:30;362,55;9;71,68;22;23;8;14;16,18;36;42;8,45;30,14;38;6;15,13;22,97
Mon;02;01;2017;23:45;362,73;9;73,26;22;23;6;14;15,91;36;42;8,51;29,91;38;7;15,18;22,97
Tue;03;01;2017;00:00;366,33;10;72,04;21;23;9;14;16,33;35;44;8,58;30,28;39;6;15,14;22,97
Tue;03;01;2017;00:15;359,86;9;73,36;22;22;6;13;16,05;36;43;8,55;29,79;37;6;15,14;22,97
Tue;03;01;2017;00:30;369,58;9;74,49;22;23;8;14;15,85;36;44;8,26;31,85;39;6;15,16;22,97
Tue;03;01;2017;00:45;366,51;9;72,74;22;22;7;14;16,39;36;45;8,79;31,47;38;6;15,14;22,97
Tue;03;01;2017;01:00;363,82;10;71,27;22;24;8;14;15,98;35;44;8,19;30,27;37;6;15,14;22,97
Tue;03;01;2017;01:15;365,77;10;73,81;21;22;6;13,5;15,87;36;45;8,57;29,91;39;7;15,15;22,97
Tue;03;01;2017;01:30;367,64;10;74,16;22;22;8;13,5;16,48;36;44;8,72;29,67;39;6;15,15;22,97
Tue;03;01;2017;01:45;363,69;9;72,76;22;23;6;14;15,91;36;45;8,45;30,43;37;6;15,17;22,97
Tue;03;01;2017;02:00;364,3;10;71,99;22;23;7;13,5;15,89;37;44;8,45;29,37;38;6;15,13;22,97
Tue;03;01;2017;02:15;368,1;9;73,64;22;23;7;13,83;16,45;35;44;8,82;33,24;38;6;15,15;22,97
Tue;03;01;2017;02:30;365,06;10;73,38;22;22;8;13,83;15,84;36;44;8,13;29,75;38;6;15,16;22,97
Tue;03;01;2017;02:45;361,34;9;73,15;21;23;6;13,83;15,99;36;42;9,5;29,7;38;6;15,2;22,97
Tue;03;01;2017;03:00;371,36;10;74,97;23;23;8;13,5;16,33;36;43;9,37;30,09;39;7;15,13;22,97
Tue;03;01;2017;03:15;361,21;9;74,65;22;23;6;13,5;15,83;35;43;8,68;29,44;37;6;15,14;22,97
Tue;03;01;2017;03:30;365,57;10;74,06;22;23;8;14;16,13;36;42;7,92;30,32;38;6;15,17;22,97
Tue;03;01;2017;03:45;363,13;10;71,44;22;22;7;14;16,24;35;43;7,91;31,42;39;6;15,15;22,97
Tue;03;01;2017;04:00;361,65;9;73,49;22;22;7;14;15,83;36;42;8,12;30,08;38;6;15,16;22,97
Tue;03;01;2017;04:15;364,98;10;73,71;22;23;8;13;16,18;36;43;8,4;29,59;38;6;15,13;22,97
Tue;03;01;2017;04:30;358,63;9;71,84;22;23;6;14;16,08;35;42;7,83;29,72;38;6;15,19;22,97
Tue;03;01;2017;04:45;361,4;9;70,93;22;22;8;14;15,8;36;43;7,47;30,11;38;7;15,11;22,97
Tue;03;01;2017;05:00;363,86;10;72,97;22;23;7;14;16,31;36;42;7,84;31,61;37;6;15,16;22,97
Tue;03;01;2017;05:15;363,11;10;72,41;22;22;7;13,5;15,97;36;42;7,77;31,33;39;6;15,16;22,97
Tue;03;01;2017;05:30;359,15;9;71,42;22;23;7;13,5;15,8;36;41;7,84;29,48;39;6;15,14;22,97
Tue;03;01;2017;05:45;365,27;10;73,83;22;23;8;14;16,37;36;42;7,84;30,13;38;6;15,13;22,97
Tue;03;01;2017;06:00;357,39;9;71,16;21;22;6;13,5;15,85;36;43;7,82;29,93;38;6;15,16;22,97
Tue;03;01;2017;06:15;371,28;10;72,77;22;23;8;14;15,8;37;45;8,04;33,56;38;6;15,14;22,97
