WiseMetering realtime, exported on November 17, 2016 18:05, by Pedro Castanheira of Vodafone.;;;;;;;;;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ IT OMCs (KWh);EA+ IT BVTP0 (KWh);EA+ IT SNT (KWh);EA+ IT FMC (KWh);EA+ IT MAT (KWh);EA+ IT FNC (KWh);EA+ IT CMB (KWh);EA+ IT PDG (KWh);EA+ IT AVR (KWh);EA+ IT FAR (KWh);EA+ IT ALF1P-1 (KWh);EA+ IT RAN (KWh);EA+ IT PTM (KWh)
Fri;01;01;2016;03:30;260,77;53,31;24,6;16,66;36,38;3,71;15,91;3,76;18,53;8,66;48,83;28,25;2,17
Fri;01;01;2016;03:45;261,98;53,26;24,6;16,77;37,63;3,69;15,91;3,77;18,47;8,67;48,81;28,22;2,17
Fri;01;01;2016;04:00;264,02;53,32;24,59;16,75;38,63;3,71;15,9;3,77;18,5;9,66;48,8;28,21;2,17
Fri;01;01;2016;04:15;261,83;53,22;24,59;16,78;37,52;3,7;15,91;3,76;18,5;8,68;48,8;28,19;2,17
Fri;01;01;2016;04:30;261,87;53,23;24,55;16,76;37,71;3,7;15,92;3,76;18,5;8,67;48,71;28,17;2,18
Fri;01;01;2016;04:45;262,85;53,23;24,6;16,87;38,5;3,69;15,91;3,77;18,46;8,68;48,82;28,17;2,16
Fri;01;01;2016;05:00;261,97;53,23;24,61;16,65;37,58;3,71;15,9;3,77;18,5;8,99;48,75;28,12;2,17
Fri;01;01;2016;05:15;262,21;53,28;24,62;16,78;37,57;3,69;15,9;3,76;18,5;8,99;48,78;28,17;2,17
Fri;01;01;2016;05:30;262,04;53,2;24,61;16,74;37,51;3,71;15,91;3,77;18,48;8,99;48,74;28,22;2,16
Fri;01;01;2016;05:45;262,97;53,23;24,61;16,87;38,57;3,69;15,9;3,77;18,49;8,69;48,81;28,17;2,18
Fri;01;01;2016;06:00;261,43;53,19;24,52;16,64;37,53;3,7;15,89;3,76;18,47;8,65;48,76;28,15;2,17
Fri;01;01;2016;06:15;261,99;53,17;24,57;16,85;37,49;3,69;15,9;3,77;18,49;8,66;49,11;28,11;2,18
Fri;01;01;2016;06:30;263,84;53,24;24,57;16,64;38,54;3,71;15,9;3,77;18,43;9,67;49,11;28,1;2,17
Fri;01;01;2016;06:45;262,01;53,14;24,62;16,75;37,6;3,69;15,91;3,77;18,42;8,67;49,11;28,15;2,17
Fri;01;01;2016;07:00;261,44;53,17;24,56;16,74;37,53;3,7;15,89;3,76;18,47;8,65;48,73;28,07;2,17
Fri;01;01;2016;07:15;261,61;53,11;24,6;16,85;37,56;3,69;15,9;3,77;18,44;8,69;48,72;28,12;2,17
Fri;01;01;2016;07:30;262,51;53,19;24,59;16,61;38,63;3,71;15,9;3,77;18,42;8,66;48,72;28,15;2,16
Fri;01;01;2016;07:45;262,51;53,12;24,58;16,84;37,55;3,69;15,9;3,76;18,46;9,67;48,71;28,06;2,17
Fri;01;01;2016;08:00;261,53;53,2;24,6;16,6;37,65;3,7;15,91;3,77;18,46;8,63;48,74;28,11;2,17
Fri;01;01;2016;08:15;262,86;53,17;24,6;16,74;38,74;3,69;15,91;3,76;18,49;8,66;48,82;28,11;2,17
Fri;01;01;2016;08:30;261,76;53,15;24,61;16,72;37,84;3,7;15,9;3,77;18,42;8,65;48,72;28,1;2,18
Fri;01;01;2016;08:45;262,77;53,2;24,6;16,74;37,68;3,69;15,9;3,76;18,46;9,68;48,77;28,12;2,17
Fri;01;01;2016;09:00;262,77;53,22;24,6;16,74;38,65;3,71;15,9;3,77;18,47;8,65;48,75;28,14;2,17
Fri;01;01;2016;09:15;262,08;53,16;24,64;16,76;37,87;3,7;15,92;3,76;18,47;8,69;48,81;28,12;2,18
Fri;01;01;2016;09:30;262,09;53,22;24,62;16,74;37,88;3,71;15,91;3,76;18,51;8,68;48,75;28,14;2,17
Fri;01;01;2016;09:45;263,13;53,16;24,66;16,76;38,72;3,7;15,91;3,76;18,5;8,66;48,92;28,21;2,18
Fri;01;01;2016;10:00;263,27;53,23;24,7;16,76;37,86;3,71;15,91;3,77;18,54;9,63;48,78;28,21;2,17
Fri;01;01;2016;10:15;262,23;53,19;24,57;16,88;37,84;3,7;15,93;3,76;18,5;8,66;48,87;28,17;2,17
Fri;01;01;2016;10:30;263,24;53,22;24,66;16,66;38,93;3,71;15,92;3,77;18,52;8,66;48,82;28,21;2,17
Fri;01;01;2016;10:45;263,52;53,27;24,82;16,81;37,82;3,7;15,93;3,77;18,53;8,69;49,81;28,21;2,18
Fri;01;01;2016;11:00;262,47;53,31;24,61;16,75;37,84;3,71;15,93;3,77;18,56;8,65;48,9;28,28;2,17
Fri;01;01;2016;11:15;264,78;53,29;24,74;16,8;39,04;3,71;15,94;3,76;18,53;9,65;48,9;28,24;2,17
Fri;01;01;2016;11:30;262,95;53,31;24,74;16,79;38,04;3,72;15,95;3,77;18,6;8,68;48,87;28,31;2,18
Fri;01;01;2016;11:45;262,69;53,31;24,78;16,83;37,9;3,71;15,93;3,77;18,56;8,66;48,8;28,28;2,17
Fri;01;01;2016;12:00;263,99;53,35;24,74;16,76;39,05;3,72;15,93;3,77;18,6;8,66;48,93;28,32;2,17
Fri;01;01;2016;12:15;263,98;53,39;24,75;16,86;38,06;3,7;15,93;3,77;18,57;9,64;48,85;28,3;2,17
Fri;01;01;2016;12:30;263,03;53,38;24,86;16,72;38,03;3,73;15,92;3,77;18,62;8,62;48,88;28,33;2,17
Fri;01;01;2016;12:45;263,91;53,4;24,73;16,81;38,95;3,72;15,95;3,77;18,59;8,66;48,88;28,3;2,18
Fri;01;01;2016;13:00;262,81;53,34;24,76;16,79;37,91;3,72;15,93;3,77;18,59;8,65;48,88;28,3;2,18
Fri;01;01;2016;13:15;263,09;53,39;24,78;16,92;38,05;3,71;15,93;3,77;18,57;8,65;48,84;28,29;2,19
Fri;01;01;2016;13:30;265,91;53,3;24,75;16,67;39,09;3,72;15,93;3,77;18,57;9,64;49,9;28,41;2,17
Fri;01;01;2016;13:45;263,03;53,34;24,82;16,92;37,88;3,71;15,94;3,76;18,6;8,65;48,9;28,34;2,17
Fri;01;01;2016;14:00;262,83;53,39;24,81;16,66;37,9;3,72;15,92;3,77;18,55;8,65;48,9;28,39;2,18
Fri;01;01;2016;14:15;264,19;53,42;24,82;16,83;39,03;3,71;15,93;3,77;18,57;8,63;48,91;28,41;2,17
Fri;01;01;2016;14:30;262,89;53,42;24,71;16,77;38,07;3,71;15,93;3,77;18,55;8,64;48,85;28,3;2,17
Fri;01;01;2016;14:45;263,89;53,38;24,81;16,81;37,87;3,71;15,92;3,77;18,59;9,66;48,89;28,31;2,17
Fri;01;01;2016;15:00;264,38;53,56;24,8;16,77;39,1;3,72;15,94;3,77;18,55;8,63;48,95;28,42;2,17
Fri;01;01;2016;15:15;263,17;53,38;24,79;16,9;38,03;3,71;15,93;3,77;18,59;8,63;48,93;28,34;2,17
Fri;01;01;2016;15:30;264,18;53,52;24,77;16,68;39,02;3,72;15,93;3,77;18,57;8,66;48,98;28,38;2,17
Fri;01;01;2016;15:45;265,13;53,5;24,77;16,85;37,85;3,7;15,94;3,77;18,6;9,65;49,94;28,4;2,17
Fri;01;01;2016;16:00;263,26;53,5;24,77;16,73;38,08;3,72;15,93;3,77;18,59;8,65;48,9;28,44;2,18
Fri;01;01;2016;16:15;264,4;53,49;24,79;16,79;39,13;3,71;15,95;3,76;18,59;8,62;48,89;28,52;2,18
Fri;01;01;2016;16:30;263,1;53,49;24,74;16,76;37,86;3,71;15,93;3,77;18,6;8,64;48,99;28,43;2,17
Fri;01;01;2016;16:45;263,33;53,51;24,77;16,89;37,94;3,7;15,93;3,77;18,59;8,65;48,94;28,47;2,17
Fri;01;01;2016;17:00;265,16;53,46;24,75;16,67;38,89;3,72;15,93;3,77;18,6;9,67;49;28,53;2,18
Fri;01;01;2016;17:15;263,47;53,49;24,82;16,9;37,96;3,71;15,94;3,76;18,61;8,63;48,99;28,49;2,17
Fri;01;01;2016;17:30;263,14;53,54;24,73;16,66;37,97;3,71;15,96;3,77;18,61;8,68;48,87;28,48;2,17
Fri;01;01;2016;17:45;264,06;53,48;24,71;16,79;37,82;3,71;15,94;3,77;18,59;8,62;49,94;28,51;2,17
Fri;01;01;2016;18:00;264,29;53,44;24,72;16,77;38,93;3,73;15,94;3,77;18,63;8,66;49,04;28,49;2,18
Fri;01;01;2016;18:15;264,27;53,43;24,77;16,92;37,88;3,71;15,94;3,77;18,62;9,64;48,89;28,53;2,17
Fri;01;01;2016;18:30;263,21;53,47;24,73;16,65;37,98;3,72;15,95;3,77;18,61;8,66;49,02;28,47;2,18
Fri;01;01;2016;18:45;264,24;53,48;24,79;16,84;38,88;3,71;15,94;3,76;18,6;8,64;48,91;28,52;2,17
Fri;01;01;2016;19:00;263,23;53,49;24,67;16,74;38,02;3,72;15,94;3,77;18,63;8,69;48,86;28,52;2,18
Fri;01;01;2016;19:15;251,22;53,46;11,9;16,78;37,83;3,71;15,94;3,77;18,63;9,61;48,9;28,52;2,17
Fri;01;01;2016;19:30;240,4;53,48;0,9;16,75;37,92;3,72;15,94;3,77;18,6;8,67;49,97;28,5;2,18
Fri;01;01;2016;19:45;250,39;53,38;11,13;16,9;38,84;3,72;15,95;3,77;18,61;8,65;48,82;28,48;2,18
Fri;01;01;2016;20:00;313,22;53,47;74,87;16,67;37,92;3,72;15,94;3,77;18,55;8,68;48,92;28,54;2,17
Fri;01;01;2016;20:15;263,06;53,48;24,59;16,87;37,88;3,71;15,94;3,77;18,63;8,63;48,93;28,44;2,19
Fri;01;01;2016;20:30;264,98;53,5;24,64;16,65;38,91;3,72;15,94;3,77;18,61;9,65;48,9;28,52;2,18
Fri;01;01;2016;20:45;263,02;53,46;24,66;16,79;37,85;3,71;15,94;3,77;18,62;8,68;48,91;28,48;2,18
Fri;01;01;2016;21:00;263,01;53,49;24,69;16,74;37,85;3,72;15,95;3,77;18,56;8,64;49,01;28,41;2,18
Fri;01;01;2016;21:15;263,88;53,48;24,66;16,89;38,86;3,7;15,94;3,76;18,57;8,64;48,8;28,41;2,17
Fri;01;01;2016;21:30;262,88;53,53;24,67;16,67;37,9;3,73;15,94;3,77;18,59;8,65;48,89;28,38;2,18
Fri;01;01;2016;21:45;263,94;53,42;24,62;16,88;37,91;3,72;15,94;3,77;18,62;9,63;48,89;28,38;2,18
Fri;01;01;2016;22:00;263,04;53,53;24,65;16,68;37,89;3,72;15,96;3,77;18,6;8,68;48,93;28,46;2,18
Fri;01;01;2016;22:15;265;53,5;24,67;16,8;38,9;3,71;15,94;3,76;18,63;8,64;49,89;28,38;2,18
Fri;01;01;2016;22:30;262,78;53,45;24,68;16,76;37,86;3,73;15,94;3,77;18,52;8,65;48,88;28,37;2,18
Fri;01;01;2016;22:45;264,05;53,48;24,63;16,82;37,95;3,7;15,94;3,77;18,61;9,64;48,93;28,41;2,18
Fri;01;01;2016;23:00;263,72;53,45;24,72;16,76;38,78;3,72;15,94;3,77;18,6;8,65;48,84;28,34;2,17
Fri;01;01;2016;23:15;263,22;53,47;24,61;16,9;37,98;3,7;15,95;3,78;18,7;8,64;48,91;28,42;2,17
Fri;01;01;2016;23:30;262,67;53,45;24,6;16,67;37,76;3,71;15,93;3,78;18,63;8,65;48,85;28,45;2,18
Fri;01;01;2016;23:45;262,88;53,43;24,69;16,78;37,8;3,71;15,94;3,77;18,59;8,65;48,91;28,45;2,18
Sat;02;01;2016;00:00;266,07;53,43;24,6;16,77;39,97;3,71;15,93;3,77;18,58;9,67;49,02;28,43;2,18
Sat;02;01;2016;00:15;261,57;53,38;24,65;16,9;36,69;3,7;15,93;3,76;18,56;8,67;48,72;28,43;2,18
Sat;02;01;2016;00:30;262,39;53,32;24,63;16,64;37,78;3,71;15,94;3,77;18,56;8,62;48,9;28,35;2,18
Sat;02;01;2016;00:45;263,5;53,33;24,62;16,76;38,74;3,69;15,92;3,77;18,58;8,64;48,87;28,4;2,18
Sat;02;01;2016;01:00;263,32;53,32;24,59;16,74;37,75;3,71;15,92;3,77;18,55;9,65;48,78;28,37;2,18
Sat;02;01;2016;01:15;262,52;53,31;24,67;16,87;37,74;3,7;15,92;3,77;18,53;8,66;48,83;28,36;2,18
Sat;02;01;2016;01:30;262,24;53,39;24,57;16,63;37,78;3,71;15,93;3,77;18,57;8,61;48,8;28,3;2,18
Sat;02;01;2016;01:45;264,35;53,27;24,62;16,76;38,75;3,69;15,92;3,77;18,57;8,66;49,81;28,36;2,19
Sat;02;01;2016;02:00;262,23;53,34;24,62;16,73;37,63;3,7;15,92;3,77;18,55;8,63;48,84;28,33;2,17
Sat;02;01;2016;02:15;263,26;53,27;24,58;16,81;37,7;3,69;15,92;3,76;18,55;9,66;48,84;28,31;2,18
Sat;02;01;2016;02:30;263,05;53,25;24,65;16,72;38,67;3,7;15,91;3,77;18,49;8,64;48,78;28,29;2,18
Sat;02;01;2016;02:45;262,4;53,33;24,63;16,83;37,73;3,69;15,92;3,76;18,48;8,64;48,9;28,33;2,18
Sat;02;01;2016;03:00;261,81;53,25;24,66;16,61;37,6;3,7;15,9;3,77;18,53;8,64;48,72;28,25;2,18
Sat;02;01;2016;03:15;263,18;53,25;24,63;16,84;38,7;3,69;15,9;3,77;18,51;8,7;48,78;28,25;2,18
Sat;02;01;2016;03:30;262,87;53,26;24,6;16,58;37,62;3,7;15,9;3,77;18,51;9,63;48,89;28,25;2,18
Sat;02;01;2016;03:45;261,94;53,23;24,62;16,82;37,57;3,69;15,89;3,76;18,5;8,66;48,75;28,28;2,18
Sat;02;01;2016;04:00;261,8;53,24;24,58;16,59;37,63;3,7;15,92;3,77;18,49;8,66;48,75;28,24;2,24
Sat;02;01;2016;04:15;262,92;53,24;24,59;16,8;38,56;3,69;15,9;3,76;18,5;8,69;48,83;28,19;2,17
Sat;02;01;2016;04:30;262,68;53,25;24,66;16,6;37,53;3,7;15,89;3,77;18,49;9,63;48,78;28,2;2,18
Sat;02;01;2016;04:45;261,79;53,17;24,57;16,81;37,6;3,69;15,91;3,76;18,45;8,68;48,73;28,24;2,18
Sat;02;01;2016;05:00;262,45;53,25;24,55;16,58;38,54;3,7;15,91;3,77;18,39;8,62;48,74;28,23;2,18
Sat;02;01;2016;05:15;261,9;53,21;24,64;16,82;37,62;3,69;15,92;3,76;18,45;8,65;48,76;28,22;2,17
Sat;02;01;2016;05:30;261,57;53,21;24,62;16,58;37,55;3,7;15,9;3,77;18,45;8,66;48,78;28,16;2,19
Sat;02;01;2016;05:45;263,85;53,2;24,67;16,81;38,57;3,69;15,9;3,76;18,48;9,63;48,72;28,23;2,18
Sat;02;01;2016;06:00;261,49;53,22;24,59;16,56;37,59;3,7;15,91;3,77;18,39;8,64;48,77;28,17;2,18
Sat;02;01;2016;06:15;261,88;53,18;24,66;16,8;37,62;3,69;15,91;3,76;18,47;8,67;48,72;28,23;2,18
Sat;02;01;2016;06:30;261,57;53,18;24,65;16,59;37,53;3,7;15,9;3,77;18,47;8,66;48,82;28,15;2,17
Sat;02;01;2016;06:45;262,53;53,17;24,58;16,72;38,55;3,69;15,9;3,76;18,48;8,66;48,67;28,18;2,18
Sat;02;01;2016;07:00;262,67;53,16;24,58;16,67;37,59;3,7;15,9;3,77;18,49;9,63;48,85;28,16;2,18
Sat;02;01;2016;07:15;261,55;53,17;24,61;16,77;37,52;3,69;15,9;3,76;18,49;8,67;48,63;28,18;2,18
Sat;02;01;2016;07:30;262,52;53,15;24,64;16,61;38,47;3,7;15,91;3,76;18,45;8,67;48,81;28,16;2,18
Sat;02;01;2016;07:45;261,5;53,14;24,59;16,72;37,49;3,69;15,9;3,76;18,46;8,66;48,72;28,2;2,18
Sat;02;01;2016;08:00;262,55;53,15;24,63;16,65;37,54;3,7;15,9;3,77;18,47;9,64;48,76;28,17;2,18
Sat;02;01;2016;08:15;261,84;53,13;24,6;16,84;37,57;3,69;15,9;3,76;18,48;8,67;48,81;28,21;2,18
Sat;02;01;2016;08:30;263,61;53,17;24,7;16,58;38,55;3,71;15,91;3,77;18,44;8,66;49,7;28,23;2,18
Sat;02;01;2016;08:45;261,84;53,1;24,61;16,82;37,53;3,69;15,92;3,76;18,49;8,68;48,79;28,25;2,19
Sat;02;01;2016;09:00;261,76;53,19;24,65;16,59;37,6;3,7;15,91;3,77;18,48;8,66;48,81;28,23;2,18
Sat;02;01;2016;09:15;264,16;53,12;24,67;16,84;38,72;3,69;15,91;3,76;18,53;9,68;48,82;28,25;2,17
Sat;02;01;2016;09:30;261,7;53,18;24,63;16,6;37,5;3,71;15,91;3,77;18,49;8,67;48,79;28,28;2,17
Sat;02;01;2016;09:45;262,11;53,21;24,67;16,72;37,7;3,7;15,93;3,76;18,48;8,68;48,84;28,26;2,18
Sat;02;01;2016;10:00;263,12;53,19;24,62;16,71;38,64;3,71;15,92;3,77;18,5;8,67;48,89;28,32;2,17
Sat;02;01;2016;10:15;262,45;53,29;24,62;16,83;37,79;3,7;15,92;3,77;18,53;8,67;48,81;28,34;2,18
Sat;02;01;2016;10:30;263,5;53,29;24,65;16,6;37,92;3,72;15,93;3,76;18,53;9,7;48,89;28,33;2,18
Sat;02;01;2016;10:45;263,7;53,32;24,68;16,85;38,84;3,71;15,93;3,77;18,56;8,69;48,82;28,36;2,18
Sat;02;01;2016;11:00;262,42;53,34;24,61;16,66;37,74;3,72;15,95;3,77;18,53;8,69;48,88;28,36;2,18
Sat;02;01;2016;11:15;263,19;53,33;24,67;16,86;37,8;3,71;15,94;3,76;18,52;9,18;48,87;28,37;2,17
Sat;02;01;2016;11:30;263,02;53,4;24,64;16,65;37,8;3,71;15,93;3,77;18,54;9,18;48,88;28,34;2,18
Sat;02;01;2016;11:45;263,93;53,33;24,73;16,89;38,79;3,71;15,93;3,77;18,59;8,68;48,98;28,35;2,18
Sat;02;01;2016;12:00;263,9;53,4;24,68;16,65;37,91;3,72;15,93;3,77;18,59;8,71;49,9;28,45;2,18
Sat;02;01;2016;12:15;262,86;53,41;24,73;16,79;37,86;3,71;15,94;3,76;18,58;8,66;48,85;28,4;2,17
Sat;02;01;2016;12:30;263,8;53,45;24,71;16,77;38,8;3,72;15,93;3,77;18,57;8,69;48,9;28,32;2,18
Sat;02;01;2016;12:45;263,9;53,4;24,73;16,81;37,78;3,7;15,93;3,76;18,6;9,72;48,91;28,38;2,18
Sat;02;01;2016;13:00;262,81;53,45;24,69;16,75;37,9;3,72;15,93;3,77;18,57;8,64;48,87;28,36;2,18
Sat;02;01;2016;13:15;263,96;53,42;24,72;16,9;38,8;3,7;15,93;3,77;18,57;8,68;48,93;28,36;2,17
Sat;02;01;2016;13:30;264,08;53,43;24,71;16,66;39,14;3,71;15,94;3,77;18,57;8,7;48,9;28,36;2,17
Sat;02;01;2016;13:45;261,72;53,42;24,71;16,88;36,58;3,71;15,93;3,76;18,59;8,68;48,87;28,43;2,17
Sat;02;01;2016;14:00;263,99;53,49;24,7;16,7;37,95;3,71;15,93;3,77;18,58;9,74;48,87;28,38;2,18
Sat;02;01;2016;14:15;264,11;53,48;24,73;16,81;38,89;3,71;15,93;3,77;18,58;8,69;48,95;28,41;2,17
Sat;02;01;2016;14:30;263,34;53,43;24,71;16,77;37,93;3,72;15,95;3,77;18,59;8,67;49,24;28,37;2,18
Sat;02;01;2016;14:45;263,34;53,48;24,73;16,79;37,9;3,71;15,93;3,76;18,57;8,68;49,25;28,38;2,17
Sat;02;01;2016;15:00;265,52;53,52;24,7;16,78;38,99;3,72;15,93;3,77;18,61;9,72;49,25;28,36;2,18
Sat;02;01;2016;15:15;262,92;53,45;24,73;16,83;37,84;3,71;15,93;3,77;18,6;8,66;48,84;28,39;2,17
Sat;02;01;2016;15:30;263,17;53,58;24,72;16,74;37,92;3,72;15,92;3,77;18,59;8,71;48,97;28,36;2,18
Sat;02;01;2016;15:45;263,45;53,5;24,75;16,92;38,01;3,71;15,95;3,77;18,62;8,72;48,93;28,39;2,18
Sat;02;01;2016;16:00;263,96;53,53;24,71;16,68;38,9;3,72;15,93;3,77;18,64;8,66;48,86;28,4;2,18
Sat;02;01;2016;16:15;264,39;53,51;24,85;16,81;38,05;3,7;15,93;3,77;18,59;9,7;48,98;28,32;2,18
Sat;02;01;2016;16:30;262,99;53,51;24,73;16,8;37,88;3,71;15,93;3,77;18,59;8,74;48,85;28,32;2,18
Sat;02;01;2016;16:45;264,26;53,45;24,72;16,82;39,01;3,7;15,94;3,77;18,63;8,67;49,02;28,35;2,18
Sat;02;01;2016;17:00;264,18;53,5;24,79;16,78;37,92;3,72;15,94;3,77;18,63;8,7;49,82;28,43;2,18
Sat;02;01;2016;17:15;263,25;53,54;24,76;16,82;37,98;3,7;15,94;3,76;18,58;8,7;48,95;28,34;2,18
Sat;02;01;2016;17:30;265,13;53,48;24,78;16,77;38,91;3,71;15,94;3,77;18,59;9,73;48,89;28,38;2,18
Sat;02;01;2016;17:45;263,36;53,51;24,71;16,93;37,9;3,71;15,94;3,76;18,62;8,66;49,01;28,43;2,18
Sat;02;01;2016;18:00;263,13;53,5;24,77;16,69;37,95;3,72;15,94;3,76;18,64;8,71;48,85;28,41;2,18
Sat;02;01;2016;18:15;263,31;53,52;24,76;16,84;37,99;3,7;15,96;3,77;18,65;8,69;48,84;28,42;2,17
Sat;02;01;2016;18:30;265,07;53,5;24,7;16,79;38,92;3,72;15,94;3,77;18,63;9,72;48,83;28,37;2,17
Sat;02;01;2016;18:45;263,31;53,49;24,81;16,81;37,92;3,71;15,94;3,77;18,66;8,67;48,98;28,39;2,19
Sat;02;01;2016;19:00;263,26;53,52;24,61;16,8;37,89;3,72;15,95;3,77;18,64;8,74;48,9;28,56;2,18
Sat;02;01;2016;19:15;265,46;53,51;24,75;16,84;38,95;3,71;15,96;3,77;18,69;8,68;49,95;28,48;2,17
Sat;02;01;2016;19:30;263,22;53,51;24,69;16,75;37,87;3,72;15,95;3,77;18,63;8,72;48,91;28,53;2,18
Sat;02;01;2016;19:45;264,25;53,45;24,72;16,88;37,93;3,71;15,94;3,76;18,68;9,7;48,88;28,43;2,17
Sat;02;01;2016;20:00;264,04;53,54;24,69;16,69;38,84;3,72;15,94;3,77;18,63;8,71;48,93;28,41;2,18
Sat;02;01;2016;20:15;263,06;53,46;24,7;16,86;37,98;3,7;15,94;3,77;18,63;8,71;48,91;28,23;2,17
Sat;02;01;2016;20:30;262,92;53,47;24,71;16,74;37,9;3,72;15,96;3,77;18,64;8,69;48,94;28,21;2,17
Sat;02;01;2016;20:45;262,95;53,42;24,69;16,92;37,84;3,71;15,94;3,76;18,61;8,72;48,98;28,19;2,18
Sat;02;01;2016;21:00;264,86;53,49;24,67;16,65;38,95;3,72;15,94;3,77;18,64;9,71;48,95;28,19;2,18
Sat;02;01;2016;21:15;263,06;53,43;24,68;16,9;37,88;3,72;15,94;3,76;18,68;8,74;48,94;28,23;2,17
Sat;02;01;2016;21:30;262,88;53,5;24,7;16,69;37,94;3,73;15,94;3,77;18,63;8,68;48,95;28,17;2,18
Sat;02;01;2016;21:45;265,08;53,47;24,73;16,92;38,86;3,7;15,95;3,76;18,68;8,72;49,9;28,21;2,18
Sat;02;01;2016;22:00;263,86;53,44;24,67;16,69;37,96;3,71;15,94;3,77;18,65;9,72;48,97;28,16;2,18
Sat;02;01;2016;22:15;263,08;53,45;24,69;16,86;38,02;3,7;15,94;3,76;18,67;8,75;48,9;28,17;2,17
Sat;02;01;2016;22:30;262,82;53,52;24,66;16,75;37,84;3,72;15,94;3,77;18,68;8,68;48,95;28,14;2,18
Sat;02;01;2016;22:45;263,88;53,41;24,66;16,82;38,85;3,7;15,96;3,76;18,69;8,73;48,95;28,17;2,18
Sat;02;01;2016;23:00;262,88;53,47;24,71;16,79;37,87;3,72;15,93;3,77;18,66;8,69;48,97;28,13;2,18
Sat;02;01;2016;23:15;263,88;53,43;24,7;16,93;37,81;3,7;15,94;3,77;18,68;9,74;48,9;28,1;2,17
Sat;02;01;2016;23:30;263,77;53,45;24,6;16,7;38,99;3,71;15,94;3,77;18,66;8,7;48,96;28,12;2,18
Sat;02;01;2016;23:45;262,85;53,41;24,69;16,83;37,92;3,72;15,94;3,76;18,67;8,71;48,88;28,14;2,18
Sun;03;01;2016;00:00;263,69;53,45;24,64;16,79;37,8;3,72;15,95;3,77;18,66;8,7;49,93;28,09;2,18
Sun;03;01;2016;00:15;264,58;53,4;24,61;16,8;38,84;3,7;15,93;3,76;18,67;9,74;48,89;28,06;2,18
Sun;03;01;2016;00:30;262,44;53,37;24,67;16,78;37,76;3,71;15,93;3,77;18,62;8,7;48,93;28,03;2,18
Sun;03;01;2016;00:45;262,41;53,34;24,62;16,9;37,73;3,7;15,93;3,76;18,62;8,71;48,86;28,07;2,18
Sun;03;01;2016;01:00;262,46;53,37;24,67;16,67;37,79;3,71;15,92;3,77;18,65;8,74;48,96;28,05;2,17
Sun;03;01;2016;01:15;263,36;53,32;24,64;16,92;38,72;3,7;15,93;3,76;18,66;8,69;48,84;28,02;2,18
