Vodafone - Realtime Data;;;;;;;;;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;;;;;;;;;
At: January 31, 2018 11:09 (Europe/Lisbon);;;;;;;;;;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;;;;;;;;;
Rate: 15 minutes;;;;;;;;;;;;;;;;;
Exported by WiseMetering;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ AVAC OMCs Report (KWh);EA+ AVAC IT PDG (KWh);EA+ AVAC IT SNT (KWh);EA+ AVAC CMB (KWh);EA+ AVAC IT ALF1P-1 (KWh);EA+ AVAC FNC (KWh);EA+ AVAC IT FAR (KWh);EA+ AVAC IT BVTP0 (KWh);EA+ AVAC FMC (KWh);EA+ AVAC IT PTM (KWh);EA+ AVAC IT RAN (KWh);EA+ AVAC IT MAT (KWh);EA+ AVAC IT AVR (KWh)
Sun;01;01;2017;04:00;45,37;1,73;2,19;4,48;;4,71;4,23;7,08;2,53;1,25;8,7;8,26;0,22
Sun;01;01;2017;04:15;43,55;2,94;1,97;5,04;;4,04;3,27;7;2,53;0,91;7,4;8,24;0,22
Sun;01;01;2017;04:30;44,19;1,16;2,52;4,49;;4,31;4,39;6,99;2,53;1,34;8;8,25;0,22
Sun;01;01;2017;04:45;45,88;3,35;2,53;5,05;;3,87;3,22;6,9;2,53;1,19;8,4;8,29;0,55
Sun;01;01;2017;05:00;40,16;1;1,91;4,4;;3,15;3,96;6,95;2,54;0,91;7;8,13;0,22
Sun;01;01;2017;05:15;45,39;3,32;2,4;5,07;;3,77;3,89;6,56;2,54;1,32;8,3;8,01;0,22
Sun;01;01;2017;05:30;43,16;1;2,53;4,44;;4,69;3,28;7,51;2,54;0,72;8,2;8,04;0,22
Sun;01;01;2017;05:45;44,3;3,3;2,38;4,82;;3,7;4,31;6,27;2,54;1,38;7,3;8,08;0,22
Sun;01;01;2017;06:00;42,04;1,14;2,56;4,61;;4,18;3,54;6,29;2,58;1,14;7,8;7,98;0,22
Sun;01;01;2017;06:15;42,64;3,25;2,57;4,5;;3,08;3,54;6,29;2,38;0,87;8,5;7,43;0,23
Sun;01;01;2017;06:30;40,68;1,23;2,57;4,98;;3,08;3,54;6,35;2,15;1,09;7,6;7,86;0,22
Sun;01;01;2017;06:45;40,49;2,63;2,58;4,49;;3,07;4,49;3,82;2,15;0,87;7,8;8,37;0,22
Sun;01;01;2017;07:00;41,32;1,99;2,45;5,07;;3,07;3,2;5,24;2,17;1,17;8,4;8,33;0,22
Sun;01;01;2017;07:15;40,41;2,16;2,54;4,38;;3,07;3,38;5,33;2,58;0,84;7,6;8,32;0,23
Sun;01;01;2017;07:30;40,53;2,47;2,53;4,49;;3,07;4,51;3,87;2,22;1,27;7,9;7,98;0,23
Sun;01;01;2017;07:45;39,84;1,73;2,51;4,92;;3,07;3,21;5,54;2,15;0,99;8,2;7,31;0,23
Sun;01;01;2017;08:00;40,61;2,66;2,51;4,55;;3,08;3,55;5,92;2,15;0,99;7,7;7,26;0,23
Sun;01;01;2017;08:15;38,11;1,49;1,95;4,95;;3,07;4,07;3,45;2,15;0,72;8,1;7,94;0,23
Sun;01;01;2017;08:30;43;3,15;2,1;4,55;;3,47;3,7;6,09;2,14;1,37;8;8,21;0,23
Sun;01;01;2017;08:45;39,66;1,12;2,51;5,06;;4,28;3,71;4,06;2,14;0,78;7,6;8,18;0,23
Sun;01;01;2017;09:00;42,36;3,1;2,45;4,46;;3,78;3,96;4,52;2,16;1,13;8,4;8,18;0,23
Sun;01;01;2017;09:15;40,98;1,51;1,9;4,58;;4,67;3,62;6,01;2,56;0,72;7,7;7,5;0,23
Sun;01;01;2017;09:30;40;2,51;2,4;5,03;;3,96;3,83;3,41;2,13;1,41;7,7;7,4;0,23
Sun;01;01;2017;09:45;42,81;2,21;2,43;4,82;;4,43;3,61;5,33;2,13;0,72;8,7;8,21;0,23
Sun;01;01;2017;10:00;42,25;1,8;2,52;4,9;;3,51;3,97;5,32;2,24;1,25;7,9;8,63;0,23
Sun;01;01;2017;10:15;42,66;2,93;2,53;5,26;;3,12;3,65;5,23;2,53;0,86;7,8;8,2;0,55
Sun;01;01;2017;10:30;42,34;1,31;2,54;4,52;;4,3;3,59;5,27;2,21;1,25;9,1;8,03;0,23
Sun;01;01;2017;10:45;44,48;3,31;2,54;5,26;;4,38;4,16;5,32;2,12;0,86;8,5;7,82;0,23
Sun;01;01;2017;11:00;39,81;1,17;2,53;4,99;;3,89;3,29;5,24;2,54;1,34;7,2;7,4;0,23
Sun;01;01;2017;11:15;45,66;3,2;2,53;4,96;;4,18;4,43;5,29;2,42;0,71;9,9;7,81;0,23
Sun;01;01;2017;11:30;42,18;1,42;2,52;5,56;;3,11;3,61;5,3;2,11;1,25;8,9;8,17;0,23
Sun;01;01;2017;11:45;45,06;2,67;3,24;5,54;;3,45;3,61;6,87;2,59;0,92;7;8,24;0,92
Sun;01;01;2017;12:00;47,47;2,12;2,6;4,7;;4,68;3,61;7,29;2,68;1,25;10,1;8,22;0,23
Sun;01;01;2017;12:15;48,27;2,29;2,67;5,74;;3,95;3,61;8,22;2,43;1,25;8,9;8,23;0,99
Sun;01;01;2017;12:30;41,54;2,44;2,72;5,93;;4,26;4,31;8,04;2,22;1,25;2,1;8,05;0,22
Sun;01;01;2017;12:45;36,25;2,09;2,86;5,16;;3,06;3,33;5,63;2,56;1,25;1,8;7,42;1,1
Sun;01;01;2017;13:00;40,2;2,04;2,85;5,33;;3,06;4;8,21;2,52;1,25;3,2;7,52;0,22
Sun;01;01;2017;13:15;43,54;3,16;2,85;5,92;;3,06;3,7;8,48;2,52;1,06;3,1;8,24;1,45
Sun;01;01;2017;13:30;42,03;3,17;2,86;5,97;;3,05;3,43;8,58;2,52;1,29;2,5;8,43;0,23
Sun;01;01;2017;13:45;40,71;2,21;2,89;4,91;;3,06;4,32;8,55;2,53;1,55;2,3;8,16;0,23
Sun;01;01;2017;14:00;38,87;2,07;2,91;5,71;;3,06;3,32;8,54;2,53;1,46;0,9;8,15;0,23
Sun;01;01;2017;14:15;41,13;3,16;2,91;6,03;;3,06;4,2;8,6;2,54;1,43;0,8;8,17;0,23
Sun;01;01;2017;14:30;41,41;1,96;2,91;5,76;;3,32;3,35;8,52;2,55;1,6;1,2;8,18;2,07
Sun;01;01;2017;14:45;42,32;2,1;2,91;5,04;;4,35;4,27;8,63;2,56;1,34;1,2;8,16;1,76
Sun;01;01;2017;15:00;43,07;3,16;2,91;6,14;;3,81;3,35;9,34;2,56;1,85;0,9;8,18;0,87
Sun;01;01;2017;15:15;43,71;1,15;2,91;5,99;;4,67;4,15;10,76;2,56;1,69;1;8,14;0,69
Sun;01;01;2017;15:30;40,64;3,16;2,92;5,63;;3,9;3,37;8,3;2,56;1,44;1;8,14;0,23
Sun;01;01;2017;15:45;44,22;2,57;2,91;5,05;;4,48;4,33;11,04;2,56;1,93;1;8,12;0,23
Sun;01;01;2017;16:00;40,4;1,66;2,91;6,04;;3,58;3,31;9,8;2,55;1,29;0,9;8,13;0,23
Sun;01;01;2017;16:15;41,21;3,17;2,9;6;;3,14;4,07;8,28;2,54;1,89;0,9;8,1;0,23
Sun;01;01;2017;16:30;43,28;1,48;2,91;5,5;;4,41;3,73;11,85;2,53;1,61;0,9;8,14;0,23
Sun;01;01;2017;16:45;40,64;2,7;2,91;5,04;;4,34;3,45;8,91;2,52;1,61;0,8;8,14;0,23
Sun;01;01;2017;17:00;42,76;2,92;2,91;5,95;;4,01;4,55;8,87;2,52;1,79;0,9;8,13;0,22
Sun;01;01;2017;17:15;41,57;1,36;2,9;5,94;;3,5;3,29;11,38;2,51;1,53;0,8;8,14;0,22
Sun;01;01;2017;17:30;40,4;3,17;2,48;5,1;;3,06;4,02;8,43;2,51;1,9;0,9;8,21;0,65
Sun;01;01;2017;17:45;37,72;1,62;2,68;5,3;;3,04;3,67;8,24;2,5;1,5;0,7;8,24;0,22
Sun;01;01;2017;18:00;41,36;2,68;2,97;5,75;;3,02;3,98;9,17;2,5;1,7;0,8;8,24;0,55
Sun;01;01;2017;18:15;39,93;2,46;2,37;5,83;;3,02;3,65;9,16;2,48;1,69;0,8;8,25;0,22
Sun;01;01;2017;18:30;38,85;1,73;2,7;5,2;;3,01;3,56;9,15;2,49;1,58;0,8;8,23;0,41
Sun;01;01;2017;18:45;41,01;3,15;2,96;5,25;;3,01;4,04;8,95;2,48;1,89;0,7;8,22;0,34
Sun;01;01;2017;19:00;38,19;1,12;2,46;5,83;;3;3,66;8,31;2,49;1,89;0,7;8,2;0,51
Sun;01;01;2017;19:15;40,11;2,97;2,56;5,92;;4,12;3,8;7,91;2,5;1,2;0,7;8,22;0,22
Sun;01;01;2017;19:30;39,49;2,15;2,78;4,91;;3,87;3,95;7,8;2,49;1,95;0,7;8,22;0,67
Sun;01;01;2017;19:45;39,21;1,8;2,54;5,45;;4,06;3,84;8,5;2,49;1,34;0,6;8,24;0,36
Sun;01;01;2017;20:00;42,2;3,16;2,25;5,85;;4,62;3,42;8,99;2,5;1,91;0,7;8,18;0,62
Sun;01;01;2017;20:15;38,4;1,08;2,75;5,81;;3,65;4,04;7,91;2,52;1,52;0,7;8,2;0,22
Sun;01;01;2017;20:30;40,69;3,17;2,75;4,91;;4,58;4,3;7,14;2,51;1,76;0,7;8,21;0,67
Sun;01;01;2017;20:45;37,94;1,74;2,76;5,54;;3,15;3,29;8,55;2,51;1,3;0,7;8,2;0,22
Sun;01;01;2017;21:00;39,74;2,57;2,35;5,87;;3,16;3,74;8,48;2,51;1,92;0,7;8,23;0,22
Sun;01;01;2017;21:15;39,58;2,45;2,35;5,68;;4,63;4,02;7,65;2,51;1,25;0,6;8,23;0,22
Sun;01;01;2017;21:30;37,55;1,62;2,7;4,85;;4,05;3,44;7,36;2,51;1,96;0,6;8,24;0,22
Sun;01;01;2017;21:45;42,49;3,17;2,79;5,79;;4,22;4,31;8,95;2,5;1,26;0,7;8,26;0,54
Sun;01;01;2017;22:00;37,97;1,15;2,79;5,96;;3,94;3,39;7,27;2,51;1,9;0,6;8,25;0,23
Sun;01;01;2017;22:15;39;2,91;2,79;5,31;;3,12;4,25;7,24;2,51;1,33;0,7;8,28;0,55
Sun;01;01;2017;22:30;38,06;2,05;2,29;5,25;;3,74;3,4;8,01;2,5;1,7;0,6;8,29;0,23
Sun;01;01;2017;22:45;40,73;2,07;2,4;5,82;;5,22;4,2;7,57;2,5;1,52;0,6;8,29;0,54
Sun;01;01;2017;23:00;40,42;1,95;2,57;5,91;;6,06;3,44;7,28;2,5;1,51;0,7;8,28;0,23
Sun;01;01;2017;23:15;38,38;2,67;2,7;5,22;;5,32;4,22;5,47;2,19;1,51;0,6;8,27;0,23
Sun;01;01;2017;23:30;39,86;2,77;2,74;5,18;;3,82;3,47;7,87;3,38;1,51;0,6;8,28;0,23
Sun;01;01;2017;23:45;38,51;1,33;2,78;5,98;;4,67;4,12;5,95;3,07;1,51;0,6;8,27;0,23
Mon;02;01;2017;00:00;39,54;3,16;2,52;5,93;;4,67;3,43;6,89;2,25;1,51;0,6;8,24;0,35
Mon;02;01;2017;00:15;38,17;1,82;2,73;5;;4,16;4,04;6,59;2,72;1,84;0,6;8,21;0,48
Mon;02;01;2017;00:30;36,47;2,15;2,19;5,52;;3,97;4,07;5,72;2,29;1,21;0,6;8,23;0,51
Mon;02;01;2017;00:45;40,23;2,48;2,66;5,95;;4,7;3,65;7,69;2,63;1,58;0,5;8,16;0,23
Mon;02;01;2017;01:00;35,82;1,9;2,65;6;;3,79;3,48;5,22;2,31;1,54;0,6;8,11;0,23
Mon;02;01;2017;01:15;39,46;3,17;2,29;4,79;;4,91;4,04;7,45;2,55;1,31;0,6;8,12;0,23
Mon;02;01;2017;01:30;38,42;1,29;2,3;5,81;;4,63;4,18;5,85;3,79;1,73;0,5;8,12;0,23
Mon;02;01;2017;01:45;36,09;1,52;2,85;5,98;;3,8;3,34;6,16;2,09;1,33;0,7;8,1;0,23
Mon;02;01;2017;02:00;38,85;2,54;2,53;5,54;;4,07;4,25;6,92;2,86;1,33;0,5;8,09;0,22
Mon;02;01;2017;02:15;35,22;1,34;2,16;4,91;;4,55;3,33;5,25;2,94;1,7;0,7;8,11;0,22
Mon;02;01;2017;02:30;41,66;2,76;2,95;5,89;;4,52;4,34;7,85;2,94;1,48;0,6;8,11;0,22
Mon;02;01;2017;02:45;36,86;1,85;2,95;5,92;;3,8;3,45;5,49;2,94;1,54;0,6;8,1;0,22
Mon;02;01;2017;03:00;39,07;2,07;2,94;5,62;;4,42;4,05;6,99;2,94;1,12;0,6;8,1;0,22
Mon;02;01;2017;03:15;39,06;2,62;2,94;4,98;;4,46;3,43;6,56;2,94;1,89;0,6;8,1;0,55
Mon;02;01;2017;03:30;37,03;1,42;2,93;5,73;;3,73;4,16;5,94;2,94;1,18;0,7;8,09;0,22
Mon;02;01;2017;03:45;40,6;2,83;2,94;5,87;;4,1;3,54;8,01;2,94;1,46;0,6;8,08;0,22
Mon;02;01;2017;04:00;38,18;1,8;2,93;5,83;;4,52;4,12;5,47;2,94;1,57;0,7;8,09;0,22
Mon;02;01;2017;04:15;38,24;2,04;2,92;5,45;;3,45;3,68;7,45;2,93;1,29;0,7;8,09;0,22
Mon;02;01;2017;04:30;40,41;2,74;2,92;5,05;;4,05;3,85;8,05;2,94;1,8;0,7;8,09;0,22
Mon;02;01;2017;04:45;38,17;1,18;3,19;5,78;;4,57;4,1;6,18;2,93;1,23;0,7;8,08;0,22
Mon;02;01;2017;05:00;40,77;2,67;3,5;5,89;;3,7;3,49;7,29;2,93;1,58;0,7;8,07;0,96
Mon;02;01;2017;05:15;41,11;2,04;2,99;5,99;;4,22;3,97;8,13;2,94;1,66;0,9;8,06;0,22
Mon;02;01;2017;05:30;39,59;1,82;2,92;4,95;;4,25;4,06;8,16;2,93;1,17;0,7;8,06;0,57
Mon;02;01;2017;05:45;40,88;2,81;2,93;5,58;;3,97;3,62;8,07;2,94;1,89;0,8;8,05;0,22
Mon;02;01;2017;06:00;39,86;1,22;2,92;6;;3,84;4,29;8,32;2,93;1,28;0,8;8,04;0,22
Mon;02;01;2017;06:15;41,41;3,19;2,92;5,72;;4,36;3,42;8,27;2,93;1,52;0,8;8,05;0,23
Mon;02;01;2017;06:30;40,44;1,4;2,85;4,88;;3,79;3,96;8,18;2,92;1,56;0,8;8,05;2,06
Mon;02;01;2017;06:45;41,81;2,48;2,31;5,94;;4,44;4,11;9,08;2,92;1,48;0,8;8,03;0,23
Mon;02;01;2017;07:00;41,37;2,52;2,87;5,9;;3,79;3,44;9,12;2,93;1,62;0,9;8,06;0,23
Mon;02;01;2017;07:15;40,38;1,47;3,06;5,71;;4,27;4,11;8,16;2,92;1,29;0,7;8,08;0,61
Mon;02;01;2017;07:30;41,59;2,43;3,61;5,01;;3,96;3,5;9,12;2,92;1,82;0,9;8,09;0,24
Mon;02;01;2017;07:45;41,84;2,29;2,92;5,68;;4,15;4,24;9,18;2,92;1,24;0,9;8,08;0,23
Mon;02;01;2017;08:00;41,45;1,55;2,9;5,91;;3,87;3,55;8,8;2,92;1,81;0,7;8,04;1,41
Mon;02;01;2017;08:15;41,93;2,92;2,89;5,88;;4,23;4,08;8,44;3,05;1,28;0,9;8,03;0,23
Mon;02;01;2017;08:30;40,87;1,67;2,89;4,76;;3,83;4,23;9,04;3,55;1,82;0,7;8;0,39
Mon;02;01;2017;08:45;43,27;2,3;3,58;4,75;;4,35;3,35;9,25;4,68;1,32;0,8;8;0,9
Mon;02;01;2017;09:00;44,14;2,4;3,21;5,21;;4,4;4,23;9,78;4,71;1,34;0,6;8,03;0,23
Mon;02;01;2017;09:15;42,01;1,36;2,92;5,29;;3,6;3,4;9,2;5,33;1,81;0,8;8,02;0,29
Mon;02;01;2017;09:30;44,68;3,19;2,92;4,74;;4,1;4,35;9,39;5,46;1,23;0,8;8,02;0,48
Mon;02;01;2017;09:45;44,09;1,39;2,92;5,72;;4,49;3,34;9,98;5,45;1,9;0,7;7,99;0,23
Mon;02;01;2017;10:00;45,75;2,29;3,33;4,75;;4,21;4,26;9,7;5,44;1,37;0,9;7,99;1,52
Mon;02;01;2017;10:15;44,27;2,36;3,34;4,74;;3,87;3,34;10,07;5,64;1,89;0,8;7,99;0,22
Mon;02;01;2017;10:30;44,56;1,47;2,91;5,66;;4,32;4,19;9,99;5,95;1,17;0,7;7,97;0,23
Mon;02;01;2017;10:45;42,65;2,89;2,9;4,74;;4;3,62;10,15;3,72;1,83;0,6;7,98;0,22
Mon;02;01;2017;11:00;41,71;1,83;2,91;4,74;;4,26;4,09;10,05;3,34;1,43;0,9;7,95;0,22
Mon;02;01;2017;11:15;44,7;2,04;2,94;5,68;;4,14;3,49;12,06;3,29;1,88;0,9;8,05;0,22
Mon;02;01;2017;11:30;43,76;2,62;3,6;4,75;;3,96;4,27;10,57;3,61;1,25;0,9;8,01;0,22
Mon;02;01;2017;11:45;45,23;1,41;3,59;4,75;;4,57;3,43;13,55;2,89;1,87;0,9;8,05;0,22
Mon;02;01;2017;12:00;45,9;2,76;3,59;5,65;;3,94;4,39;11,91;2,89;1,61;0,9;8,04;0,22
Mon;02;01;2017;12:15;44,98;1,88;3,58;4,75;;4,42;3,39;13,18;2,89;1,65;1;8,02;0,22
Mon;02;01;2017;12:30;47,47;2,03;3,58;5,69;;3,93;4,55;13,56;2,89;1,88;1,1;8,03;0,23
Mon;02;01;2017;12:45;43,15;2,7;3,58;4,78;;4,39;3,31;10,9;2,89;1,24;1,1;8,03;0,23
Mon;02;01;2017;13:00;45,89;1,23;3,59;4,8;;4,09;3,98;14,02;2,89;1,93;1,1;8,03;0,23
Mon;02;01;2017;13:15;47,7;3,17;3,59;5,78;;3,95;3,69;12,5;2,89;1,59;1,1;8,03;1,42
Mon;02;01;2017;13:30;49,81;3,16;3,59;4,75;;4,51;4,31;12,43;2,89;1,63;1,2;8,03;3,32
Mon;02;01;2017;13:45;60,51;2,17;3,57;5,83;13,05;3,92;3,41;14,42;2,89;1,9;1,1;8,02;0,23
Mon;02;01;2017;14:00;78,07;2,37;3,57;4,75;30,29;4,52;4,09;14,18;2,89;1,89;1,3;8,01;0,22
Mon;02;01;2017;14:15;78,09;3,15;3,57;5,78;28,85;3,96;5,18;13,3;2,89;1,88;1,3;8;0,22
Mon;02;01;2017;14:30;75,47;1,06;3,55;4,74;29,04;4,3;5,64;13,17;2,89;1,17;1,2;7,99;0,71
Mon;02;01;2017;14:45;79,08;2,85;3,56;4,89;29,97;4,15;4,42;14,59;2,89;1,93;1,1;7,99;0,74
Mon;02;01;2017;15:00;78,16;3,09;3,56;5,69;28,87;4,12;3,25;15,22;2,89;1,93;1,3;8,01;0,22
Mon;02;01;2017;15:15;74,04;1,17;3,55;4,74;27,83;4,35;3,24;14,92;2,89;1,93;1,2;7,99;0,22
Mon;02;01;2017;15:30;73,97;3,14;3,55;5,88;29,18;3,92;3,25;11,42;2,89;1,32;1,2;8;0,22
Mon;02;01;2017;15:45;75,52;1,48;3,57;4,74;29,36;4,27;3,25;14,76;2,89;1,88;1,1;7,98;0,22
Mon;02;01;2017;16:00;79,65;2,72;3,6;5,85;30,06;4,08;3,26;14,84;2,89;1,89;1,1;8,02;1,34
Mon;02;01;2017;16:15;74,17;2,68;3,59;4,74;29,45;4,2;3,26;12,17;2,89;1,88;1,1;7,99;0,22
Mon;02;01;2017;16:30;71,81;1,45;3,59;5,56;27,53;4,16;3,25;12,08;2,89;1,88;1,2;8;0,23
Mon;02;01;2017;16:45;76,38;3,15;3,6;4,93;28,97;4,16;3,26;14,21;2,89;1,88;1,1;8;0,23
Mon;02;01;2017;17:00;71,67;1,74;3,61;4,75;29,17;4,17;3,27;10,97;2,89;1,87;1;8,01;0,23
Mon;02;01;2017;17:15;77,46;2,35;3,59;5,75;30,26;4,14;3,25;13,99;2,89;1,87;1,1;8;0,25
Mon;02;01;2017;17:30;74,13;3,04;3,58;4,75;28,75;4,41;3,24;10,94;2,89;1,87;1;7,99;1,67
Mon;02;01;2017;17:45;74,27;1,14;3,56;5,91;29,21;3,94;3,24;13,28;2,89;1,88;1;8;0,22
Mon;02;01;2017;18:00;75,56;3,16;3,56;4,74;30,23;4,48;3,25;12,82;2,89;1,19;1;8,01;0,22
Mon;02;01;2017;18:15;71,61;1,63;3,57;5,88;29,1;3,89;3,24;10,32;2,89;1,94;0,9;8,04;0,23
Mon;02;01;2017;18:30;72,6;2,43;3,58;4,75;28,79;4,16;3,25;11,54;2,89;1,94;1;8,04;0,22
Mon;02;01;2017;18:45;81,42;2,82;7,87;5,94;29,95;4,02;3,24;13,76;2,89;1,66;1;8,04;0,23
Mon;02;01;2017;19:00;74,76;1,47;3,59;5,06;29,51;3,99;3,26;10,46;2,89;1,62;1;8,03;3,89
Mon;02;01;2017;19:15;73,67;3,14;3,59;5,99;28,22;4,06;3,24;11,27;2,89;1,89;1,1;8,04;0,23
Mon;02;01;2017;19:30;79,3;1,11;7,62;6,07;29,2;3,8;3,24;14,1;2,89;1,89;1,1;8,05;0,23
Mon;02;01;2017;19:45;75,03;2,61;3,58;5,98;29,73;4,31;3,25;11,38;2,89;1,89;1,1;8,08;0,23
Mon;02;01;2017;20:00;73,55;2,61;4,39;5,22;29,49;3,78;3,26;10,74;2,89;1,89;1;8,05;0,23
Mon;02;01;2017;20:15;73,58;1,19;3,86;5,74;28,05;4,43;3,26;12,89;2,89;1,89;1,1;8,07;0,23
Mon;02;01;2017;20:30;78,67;3,15;6,11;6,07;29,53;3,59;3,25;10,48;2,89;1,58;1,1;8,09;2,85
Mon;02;01;2017;20:45;75,91;1,44;4,33;6,05;29,21;3,89;3,27;12,44;2,89;1,63;1;8,1;1,66
Mon;02;01;2017;21:00;73,17;2,63;3,61;5,64;28,21;4,37;3,26;11,66;2,89;1,48;1,1;8,1;0,23
Mon;02;01;2017;21:15;74,86;2,12;4,38;5,19;30,1;3,64;3,25;11,86;2,89;1,9;1,2;8,1;0,23
Mon;02;01;2017;21:30;77,16;2,06;3,61;5,96;29,47;4,07;3,27;14,27;2,89;1,92;1,3;8,12;0,23
Mon;02;01;2017;21:45;76,98;2,68;3,94;6,09;30,41;4,47;3,26;11,88;2,89;1,92;1,1;8,13;0,23
Mon;02;01;2017;22:00;76,23;1,42;4,71;6,05;29,35;3,6;3,27;12,54;2,89;1,92;1,1;8,05;1,35
Mon;02;01;2017;22:15;76,99;3,16;3,58;5,11;30,18;4,05;3,27;14,01;2,89;1,24;1,2;8,06;0,23
Mon;02;01;2017;22:30;77,71;0,85;6,23;5,65;29,35;4,44;3,25;13,65;2,89;1,95;1,1;8,11;0,23
Mon;02;01;2017;22:45;73,77;3,04;3,81;6,08;28,71;3,62;3,25;10,88;2,89;1,91;1,2;8,14;0,24
Mon;02;01;2017;23:00;76;2,07;3,61;6,22;30,21;4,5;3,26;11,88;2,89;1,38;1,1;8,13;0,75
Mon;02;01;2017;23:15;77,08;1,99;4,35;5,19;29,35;3,83;3,27;13,35;2,89;1,91;1,1;8,1;1,73
Mon;02;01;2017;23:30;72,74;2,8;3,6;5,48;28,2;4,02;3,26;11,27;2,89;1,9;1;8,08;0,23
Mon;02;01;2017;23:45;75,69;1,24;3,62;6,05;29,73;4,07;3,26;13,24;2,89;1,9;1,1;8,35;0,23
Tue;03;01;2017;00:00;76,97;3,16;3,58;6,22;29,35;4,12;3,26;11,5;2,89;1,89;1,1;9,66;0,22
Tue;03;01;2017;00:15;73,63;1,04;3,59;5,61;28,43;4,1;3,23;12,68;2,89;1,12;1;9,72;0,22
Tue;03;01;2017;00:30;80,46;3,16;3,6;5,36;29,88;3,8;3,26;14,26;2,89;1,92;1,2;9,76;1,38
Tue;03;01;2017;00:45;77,01;1,39;3,6;5,97;29,36;4,35;3,26;12,47;2,89;1,39;1,1;9,74;1,48
Tue;03;01;2017;01:00;74,91;2,77;3,61;6,13;28,51;3,71;3,27;11,03;2,89;1,81;1,2;9,75;0,23
Tue;03;01;2017;01:15;78,11;1,5;3,61;6,04;29,72;4,12;3,27;13,92;2,89;1,91;1,1;9,8;0,23
Tue;03;01;2017;01:30;80,03;2,24;3,62;5,1;30,89;4,27;3,27;14,5;2,89;1,91;1,3;9,81;0,23
Tue;03;01;2017;01:45;75,49;1,2;3,62;5,83;28,92;3,67;3,26;12,93;2,89;1,91;1,2;9,82;0,23
Tue;03;01;2017;02:00;75,63;1,69;3,61;6,1;29,2;3,92;3,27;12,13;2,89;1,5;1,3;9,8;0,23
Tue;03;01;2017;02:15;81,11;1,86;3,61;6,1;29,98;4,38;3,27;13,92;2,89;1,62;1,4;9,83;2,25
